,Stage,diversity,correlation,p_value,adj_p_value
1,0,Richness,0.0186883570392053,0.80554,0.80554
2,0,Chao1,-0.152518604565471,0.0433,0.10825
3,0,Shannon,-0.0613309933986489,0.41874,0.52343
4,0,Clonality,0.0889280497849936,0.24052,0.40087
5,0,Simpson,0.0732085102398155,0.33425,0.4775
6,4,Richness,-0.0146553917035078,0.7975,0.80554
7,4,Chao1,-0.150188883122466,0.00818,0.02727
8,4,Shannon,-0.0765676515644246,0.17945,0.3589
9,4,Clonality,0.23744325462012,2e-05,2e-04
10,4,Simpson,0.208713626399876,0.00022,0.0011
