pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
HALLMARK_HEME_METABOLISM	1e-50	5e-49		0.827476571422765	3.47615241528196	189	TMCC2 UROD DCAF11 ADD1 SLC2A1 RNF123 TFRC UBAC1 LRP10 BCAM MARK3 PRDX2 USP15 UROS XPO7 GATA1 BMP2K HBD ARHGEF12 HDGF OSBP2 AHSP RANBP10 NARF TOP1 KDM7A RAD23A ATP6V0A1 SPTB ANK1 XK NCOA4 BSG DMTN PICALM RBM38 HBB ADD2 FBXO9 SLC6A8 KEL KAT2B GAPVD1 ELL2 HAGH SLC25A38 SPTA1 ACSL6 E2F2 BPGM ALAD HBQ1 ERMAP RCL1 GYPE CA1 CAT RNF19A CPOX PSMD9 TMEM9B GDE1 ABCG2 ABCB6 FOXJ2 MPP1 RHAG MAP2K3 TRAK2 OPTN GYPB SLC22A4 KLF3 CDC27 TSPO2 SNCA SELENBP1 LPIN2 ACKR1 SLC25A37 TFDP2 FOXO3 EPB41 TRIM10 SLC4A1 CLIC2 MYL4 GYPC EPOR GCLM CTSE KLF1 EPB42 TCEA1 NFE2 TNS1 MKRN1 MBOAT2 CTSB GYPA FECH TAL1 BLVRB DCAF10 GLRX5 GMPS GCLC PPP2R5B RHCE PIGQ DCUN1D1 SLC6A9 UCP2 ALAS2 TRIM58 NUDT4 BNIP3L TSPAN5 EIF2AK1 RIOK3 SMOX SEC14L1 CA2 MXI1 PPOX ICAM4 ISCA1 ADIPOR1 MINPP1 BTRC FBXO7 HMBS MFHAS1 CLCN3 MOSPD1 ACP5 PDZK1IP1 PC ENDOD1 YPEL5 RHD MOCOS ATG4A RAP1GAP FN3K FBXO34 HEBP1 EZH1 SLC30A1	significant
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.05430145386218e-15	7.63575363465544e-14	1.00731795687447	0.551925420663101	2.32231340864734	190	GADD45A NFE2L2 MAP2K3 TNIP1 EIF1 TANK DNAJB4 NFAT5 BIRC2 PNRC1 CCRL2 PPP1R15A TRIB1 GADD45B SQSTM1 SOCS3 PTX3 IER2 BMP2 IRS2 INHBA CSF1 IL18 JUNB TNF NFKBIA EHD1 BCL2A1 PLK2 ATF3 IER5 ICAM1 NFKBIE PFKFB3 ZFP36 CCNL1 BCL6 RIPK2 KLF6 BCL3 FOSB SERPINB2 DUSP5 JUN IER3 HBEGF PHLDA2 IL15RA ZC3H12A DUSP1 CXCL2 SOD2 TUBB2A CEBPB ZBTB10 NFIL3 ETS2 NR4A3 PER1 NR4A2 FUT4 CD69 LDLR TNFAIP3 SAT1 B4GALT5 MAFF KLF9 PLAUR FOS FOSL1 BTG3 TLR2 KLF10 SLC2A3 MAP3K8 NR4A1 RELA RELB ABCA1 CD83 KLF4 G0S2 PTPRE VEGFA MCL1 JAG1 PLEK ID2 CDKN1A NAMPT BTG1 EGR1 SDC4 BHLHE40 IL1B LAMB3 IL6ST FOSL2 B4GALT1 DUSP2 RNF19B IRF1 CCL20 TIPARP HES1 SPHK1 NINJ1 PLAU RHOB	significant
HALLMARK_G2M_CHECKPOINT	1.2733258134928e-11	2.12220968915467e-10	0.875325132024659	0.52336664088098	2.19793747667092	186	PRC1 CDC7 CUL4A EZH2 POLQ BRCA2 E2F4 TPX2 NDC80 BARD1 CENPF SMC4 TTK TOP1 KIF23 GSPT1 PLK4 MYBL2 KIF4A UBE2S BUB1 KIF15 ODC1 KIF11 MKI67 CENPE E2F2 WRN SLC7A5 RAD23B TOP2A TFDP1 CDC27 KIF20B NUP98 PTTG1 EXO1 RACGAP1 RBL1 TROAP AURKA STIL CDKN2C CDC6 ESPL1 SLC7A1 XPO1 HMMR MT2A NUSAP1 BIRC5 CHAF1A CCNA2 CDK1 NEK2 CDKN3 ORC5 STAG1 KATNA1 KPNA2 DBF4 CDC25A ATF5 KIF5B CENPA SMARCC1 BCL3 FOXN3 CHMP1A CASP8AP2 AURKB KIF2C NUP50 E2F1 PBK ARID4A MAPK14 UBE2C TGFB1 SAP30 AMD1 TLE3 HIF1A DR1	significant
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	7.82829063299263e-07	7.82829063299263e-06	0.659444398037935	0.634634974118519	2.19659830918208	47	CDKN2D TXNRD2 FTL PRDX2 SRXN1 OXSR1 CAT GCLM GCLC MBP PRDX6 LAMTOR5 TXN G6PD ERCC2 TXNRD1 GSR GPX4 JUNB SBNO2 MPO SOD2 SOD1 SCAF4	significant
HALLMARK_MITOTIC_SPINDLE	3.4279117447971e-09	4.28488968099638e-08	0.774939030136436	0.479156077143836	2.02468213562484	196	CEP192 CDK5RAP2 PRC1 KNTC1 ITSN1 BRCA2 ARHGEF12 TPX2 NDC80 CENPF SMC4 RANBP9 TTK KIF23 WASF2 STAU1 PCNT ECT2 KIF4A BUB1 KIF15 KIF11 CENPE MYH10 RALBP1 TOP2A CDC42BPA CD2AP CDC27 KIF20B ANLN EPB41 DLGAP5 RACGAP1 AURKA ALMS1 PPP4R2 PCGF5 SASS6 ESPL1 NET1 DYNLL2 HDAC6 CDC42EP4 CKAP5 NUSAP1 CDC42 BIRC5 CDK1 NEK2 KATNA1 TSC1 KIF5B PCM1 CLASP1 ALS2 WASF1 CDC42EP1 KIF2C ARHGAP5 MID1IP1 ARL8A TUBA4A KIF1B DLG1 TLK1 PREX1 PKD2 ROCK1 MAP3K11 VCL ARHGDIA GSN MAPRE1 FSCN1 CTTN	significant
HALLMARK_SPERMATOGENESIS	0.000123460174100627	0.000881858386433051	0.518848077743792	0.508296312003752	1.9170626592461	76	CLPB EZH2 DMC1 TTK BUB1 PHF7 IFT88 RAD17 AURKA TALDO1 ARL4A NCAPH CDK1 NEK2 CDKN3 PCSK1N IP6K1 DBF4 HSPA2 BRAF PGS1 MLLT10 HBZ KIF2C TSN POMC CRISP2 RFC4	significant
HALLMARK_E2F_TARGETS	1.13121819355551e-06	9.42681827962927e-06	0.643551836150722	0.432178166486201	1.82807137033685	195	CIT TFRC CHEK2 EZH2 BRCA2 BRCA1 BARD1 SMC4 DIAPH3 GSPT1 PLK4 MYBL2 KIF4A UBE2S BUB1B MKI67 CENPE TOP2A ATAD2 PA2G4 DLGAP5 PTTG1 MELK RACGAP1 AURKA RAD51C NUP153 CDKN2C MCM4 POP7 KIF18B DCK ESPL1 CSE1L XPO1 DEPDC1 TUBG1 TK1 HMMR CCP110 RRM2 BIRC5 SMC6 CDCA3 CDK1 CDKN3 TRIP13 STAG1 USP1 DEK ANP32E KPNA2 CDC25A E2F8 SPC25 DSCC1 CDCA8 ASF1A TIPIN DCLRE1B AURKB KIF2C PNN MMS22L ING3 MXD3 SPC24	significant
HALLMARK_APOPTOSIS	0.000371345841274616	0.00226831932968307	0.49849310876659	0.417707126123394	1.70916090688575	146	ADD1 GPX1 HSPB1 GADD45A BRCA1 BCL2L1 TOP2A ANKH DAP LGALS3 PPP3R1 PPP2R5B BNIP3L CTH ETF1 DNAJA1 GADD45B SQSTM1 CREBBP GSR BMP2 IL18 GPX4 TNF ATF3 DAP3 VDAC2 DDIT3 JUN IER3 PMAIP1 EREG SOD2 SOD1 CD69 SAT1 LMNA BTG3 GNA15 RELA PTK2 ROCK1 MCL1 GSN CLU CDKN1A F2R CASP9 IL1B HMGB2 IRF1 APP	significant
HALLMARK_UV_RESPONSE_UP	0.000475044955931617	0.00237522477965808	0.49849310876659	0.417425853070938	1.69999467803358	132	UROD FURIN TFRC CDC34 AP2S1 BSG AGO2 SLC6A8 GRINA CLTB KCNH2 CREG1 PDAP1 EIF5 CA2 ARRB2 CYB5R1 DNAJA1 EPCAM SQSTM1 MAOA HSPA2 BMP2 JUNB NFKBIA ATF3 ICAM1 FOSB ATP6V1F GRPEL1 CXCL2 SOD2 DDX21 PPIF HSPA13 FOS BTG3 TUBA4A RFC4 WIZ AMD1 NR4A1 CHKA DNAJB1 MRPL23 CCNE1 BTG1 CDC5L IGFBP2 IL6ST IRF1	significant
HALLMARK_HYPOXIA	0.000408297479342953	0.00226831932968307	0.49849310876659	0.393235749056053	1.62375969282613	157	SLC2A1 ATP7A HDLBP HK1 NEDD4L PIM1 SELENBP1 FOXO3 TGM2 GCNT2 BNIP3L SIAH2 MXI1 PNRC1 PRDX5 MT2A PPP1R15A AMPD3 ADM IRS2 TPST2 PKLR ATF3 PFKFB3 ZFP36 KLF6 DDIT3 PHKG1 JUN IER3 JMJD6 EXT1 CHST2 DUSP1 NFIL3 TNFAIP3 MAFF PLAUR FOS SLC2A3 SAP30 PPFIA4 GAPDH HSPA5 VEGFA VHL CDKN1A P4HA2 BTG1 SDC4 BHLHE40 LOX LXN FOSL2 DDIT4 GRHPR TIPARP CITED2	significant
