"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7SK",6.94802328688531,0.741474482111492,0.41543794857202,1.78480200150264,0.0742934385969521,0.147018931251727
"A1BG",7.18771384249386,0.0590383595415862,0.224021198058806,0.263539165280638,0.792135040574584,0.861661240255799
"A1BG-AS1",24.2259142724897,0.137947227430198,0.12887040594257,1.07043371533782,0.284424130118571,0.417170523808388
"A2M",3.801641163186,-0.0657551679661248,0.261559096983868,-0.251396983413581,0.801507199723787,0.867905922491384
"A2M-AS1",173.132383869353,1.2377185460591,0.31672922236529,3.90781291608013,9.31353775576286e-05,0.000536733135388554
"A4GALT",5.32876034634403,-0.902133474027183,0.613357776999584,-1.47081117718965,0.141342188856318,0.244271840022702
"AAAS",113.770144224,0.135121620230351,0.0881266223220622,1.53326675492615,0.125210142353112,0.222544680480222
"AACS",46.989746652415,-0.213870928527382,0.115557333567571,-1.85077763500249,0.0642015498471711,0.130895948867463
"AAED1",110.406286187129,-0.517631240909068,0.118492335978153,-4.36847865843834,1.25115040751259e-05,9.35461439758597e-05
"AAGAB",136.823954819822,0.159144502299316,0.0561142854265142,2.83607821234269,0.00456712600197083,0.0146790209276355
"AAK1",2784.85374031424,-0.0580280071937926,0.0999555042284925,-0.580538386972107,0.561551607917137,0.683139964936859
"AAMDC",2.58204834882472,-0.029988051668965,0.316743931543336,-0.0946760101222716,0.924572173516189,0.951654293188492
"AAMP",97.1722754873123,0.0630210792621327,0.0839514301595914,0.750684998961063,0.452842253087102,0.586681270713956
"AAR2",127.61295037299,-0.203524051388563,0.0836728845165387,-2.43237761629138,0.01500005973786,0.0397506990428825
"AARS",199.986431167376,0.447664542267005,0.0969451705055877,4.61770854527717,3.88000678230986e-06,3.35561245389603e-05
"AARS2",47.2389949424895,0.518239928241658,0.122926831207498,4.21584061958677,2.48849471752157e-05,0.000169823824428561
"AARSD1",21.7927007033261,-0.327568628853315,0.140564401934275,-2.33038112314155,0.0197860165697035,0.0499556824451175
"AASDH",180.495238323774,0.611854026888338,0.0776629897174918,7.87832182502925,3.31807209265416e-15,2.46880683881774e-13
"AASDHPPT",263.278404316988,0.352600001578952,0.080378037324452,4.38677048253437,1.15046075203905e-05,8.73323738164958e-05
"AASS",33.3178709725785,0.274607924330209,0.156220400644245,1.75782371058927,0.0787775096574053,0.154246759361472
"AATBC",128.793469807795,0.972330876418975,0.220342151237366,4.41282283466282,1.02031487494234e-05,7.85232276871456e-05
"AATF",231.406574359268,-0.218925694510974,0.0428442341672124,-5.10980529273908,3.22490987903108e-07,3.6449811658569e-06
"AATK",259.938538002107,0.153850314446786,0.188722353258615,0.815220411309507,0.414946156293498,0.551162218875535
"ABALON",29.9028403720038,0.41123665976616,0.233095023859091,1.76424469711013,0.0776907904096572,0.152428882902603
"ABAT",228.766854315087,0.282111344976838,0.104850201816397,2.69061327579363,0.00713208176308396,0.0213857723351211
"ABBA01017803.1",38.1907991252568,-1.26537973376816,0.142162384619579,-8.90094617612293,5.53726074065067e-19,8.2734778773722e-17
"ABCA1",550.167035361769,-0.689283557959111,0.196495868926673,-3.5078781132866,0.000451695950378242,0.0020680787683237
"ABCA10",11.9674223409209,0.534473246071955,0.222090274331752,2.40655853877498,0.0161036229484431,0.0421104699127046
"ABCA11P",17.26762006345,1.12976575283664,0.241806087001085,4.67219732492332,2.97994461385116e-06,2.65464964194652e-05
"ABCA13",81.1502934494677,-0.529325565787022,0.352300316178124,-1.50248393623182,0.132972173486664,0.232935600359889
"ABCA2",506.86567888107,-0.169925404492849,0.104880276663265,-1.62018455613367,0.105192637934761,0.193381044309797
"ABCA3",59.8032663836865,0.284791485663839,0.113166065405279,2.5165802543715,0.0118499909071417,0.0326456502610479
"ABCA5",329.823938295518,0.339617322404862,0.173369452705825,1.95892250396111,0.0501218631233699,0.107096802753318
"ABCA6",14.9117612879502,0.51854440167122,0.234599439511875,2.21033947374359,0.0270816110136116,0.0648054488552285
"ABCA7",522.026566528973,0.124597260799447,0.147833346387958,0.842822433799657,0.399327759377126,0.535995147665266
"ABCA9",4.34591852136874,0.591943289347352,0.222345967956659,2.66226230584374,0.00776173669476121,0.0229333114109842
"ABCB1",160.328814934714,-0.478452777306425,0.17425936689463,-2.74563592094153,0.00603937444687422,0.0185884480965758
"ABCB10",1122.78970081811,-0.0560133348869125,0.181643272328247,-0.30836999448948,0.757800811137966,0.838026891007315
"ABCB4",27.2806573819829,0.693754785781592,0.220787094793581,3.14218902345809,0.00167689739565258,0.00627530448733519
"ABCB5",17.7328835808671,-0.215374322094958,0.260078372202862,-0.82811315785599,0.40760641853019,0.544205649091742
"ABCB6",23.2201575710171,0.0287589213759521,0.147785276154646,0.194599368247335,0.845706597668599,0.899054935358831
"ABCB7",151.344938491787,0.031159444604813,0.0576240553374668,0.540736753467494,0.588689041818867,0.706623464517576
"ABCB8",64.6069807733934,0.0911773394442414,0.158147265169052,0.576534405111444,0.564254021662216,0.68542933505904
"ABCB9",11.8531728825795,0.178289981634264,0.176792851375135,1.008468273731,0.313229711117964,0.44826821787517
"ABCC1",681.935292546642,-0.197571452858445,0.0664422667923645,-2.97358086044635,0.00294346840418861,0.0100980142490532
"ABCC10",108.287445708787,0.427092334230509,0.137076890668069,3.11571361262279,0.00183500389766873,0.00677182763681845
"ABCC13",707.985814894175,-0.288153365404019,0.253680870522365,-1.13588921707289,0.256002931685189,0.386242663041655
"ABCC2",27.7300987298715,-0.543562218638813,0.176232028138707,-3.08435546239638,0.00203993704277952,0.0073988480308273
"ABCC3",471.224197969949,0.699383782916046,0.170286826137078,4.10709271398983,4.00670430740535e-05,0.000258187979528386
"ABCC4",2380.08907495909,0.137644720145862,0.177009656732494,0.777611361361362,0.436798161142243,0.57245073133225
"ABCC5",383.764447787388,0.231051759371547,0.128097367958251,1.80371980357044,0.0712752434020513,0.142078527084128
"ABCC6",14.8473948652158,0.328898462431389,0.234624614879755,1.40180714883624,0.160972843123224,0.270095764714563
"ABCD1",88.6535997796033,-0.175874428018433,0.097568925169877,-1.80256600871864,0.0714563993519769,0.142366651924276
"ABCD2",267.890094576788,1.14521160217917,0.145531493689563,7.86916682530617,3.57010844789185e-15,2.61400211375922e-13
"ABCD3",243.998382272928,0.642293999587253,0.0798457889251108,8.04418126783963,8.68239237884636e-16,7.31949574029534e-14
"ABCD4",123.556334281069,0.00672008461220397,0.157378662735667,0.0427000998444817,0.965940599979365,0.976836864932635
"ABCE1",629.96307431368,-0.0101959548809846,0.070460697136101,-0.144704144230793,0.884944466978232,0.926167962080065
"ABCF1",276.456626299172,0.0274370201758716,0.0726942370005323,0.377430471904818,0.705853725198637,0.799715169329915
"ABCF2",170.506780258474,0.284416974848034,0.0855837973590382,3.32325724757057,0.00088972823664297,0.00366049373920405
"ABCF3",198.196879404594,-0.0443448331949467,0.0956139599647216,-0.463790362948135,0.642797948522444,0.749862936266693
"ABCG1",145.525719697754,-0.552833532655088,0.161351050479758,-3.42627786439137,0.000611914048564471,0.00268331099606725
