"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M-AS1",173.132383869353,1.2377185460591,0.31672922236529,3.90781291608013,9.31353775576286e-05,0.000536733135388554
"AAED1",110.406286187129,-0.517631240909068,0.118492335978153,-4.36847865843834,1.25115040751259e-05,9.35461439758597e-05
"AAGAB",136.823954819822,0.159144502299316,0.0561142854265142,2.83607821234269,0.00456712600197083,0.0146790209276355
"AAR2",127.61295037299,-0.203524051388563,0.0836728845165387,-2.43237761629138,0.01500005973786,0.0397506990428825
"AARS",199.986431167376,0.447664542267005,0.0969451705055877,4.61770854527717,3.88000678230986e-06,3.35561245389603e-05
"AARS2",47.2389949424895,0.518239928241658,0.122926831207498,4.21584061958677,2.48849471752157e-05,0.000169823824428561
"AARSD1",21.7927007033261,-0.327568628853315,0.140564401934275,-2.33038112314155,0.0197860165697035,0.0499556824451175
"AASDH",180.495238323774,0.611854026888338,0.0776629897174918,7.87832182502925,3.31807209265416e-15,2.46880683881774e-13
"AASDHPPT",263.278404316988,0.352600001578952,0.080378037324452,4.38677048253437,1.15046075203905e-05,8.73323738164958e-05
"AATBC",128.793469807795,0.972330876418975,0.220342151237366,4.41282283466282,1.02031487494234e-05,7.85232276871456e-05
"AATF",231.406574359268,-0.218925694510974,0.0428442341672124,-5.10980529273908,3.22490987903108e-07,3.6449811658569e-06
"ABAT",228.766854315087,0.282111344976838,0.104850201816397,2.69061327579363,0.00713208176308396,0.0213857723351211
"ABBA01017803.1",38.1907991252568,-1.26537973376816,0.142162384619579,-8.90094617612293,5.53726074065067e-19,8.2734778773722e-17
"ABCA1",550.167035361769,-0.689283557959111,0.196495868926673,-3.5078781132866,0.000451695950378242,0.0020680787683237
"ABCA10",11.9674223409209,0.534473246071955,0.222090274331752,2.40655853877498,0.0161036229484431,0.0421104699127046
"ABCA11P",17.26762006345,1.12976575283664,0.241806087001085,4.67219732492332,2.97994461385116e-06,2.65464964194652e-05
"ABCA3",59.8032663836865,0.284791485663839,0.113166065405279,2.5165802543715,0.0118499909071417,0.0326456502610479
"ABCA6",14.9117612879502,0.51854440167122,0.234599439511875,2.21033947374359,0.0270816110136116,0.0648054488552285
"ABCA9",4.34591852136874,0.591943289347352,0.222345967956659,2.66226230584374,0.00776173669476121,0.0229333114109842
"ABCB1",160.328814934714,-0.478452777306425,0.17425936689463,-2.74563592094153,0.00603937444687422,0.0185884480965758
"ABCB4",27.2806573819829,0.693754785781592,0.220787094793581,3.14218902345809,0.00167689739565258,0.00627530448733519
"ABCC1",681.935292546642,-0.197571452858445,0.0664422667923645,-2.97358086044635,0.00294346840418861,0.0100980142490532
"ABCC10",108.287445708787,0.427092334230509,0.137076890668069,3.11571361262279,0.00183500389766873,0.00677182763681845
"ABCC2",27.7300987298715,-0.543562218638813,0.176232028138707,-3.08435546239638,0.00203993704277952,0.0073988480308273
"ABCC3",471.224197969949,0.699383782916046,0.170286826137078,4.10709271398983,4.00670430740535e-05,0.000258187979528386
"ABCD2",267.890094576788,1.14521160217917,0.145531493689563,7.86916682530617,3.57010844789185e-15,2.61400211375922e-13
"ABCD3",243.998382272928,0.642293999587253,0.0798457889251108,8.04418126783963,8.68239237884636e-16,7.31949574029534e-14
"ABCF2",170.506780258474,0.284416974848034,0.0855837973590382,3.32325724757057,0.00088972823664297,0.00366049373920405
"ABCG1",145.525719697754,-0.552833532655088,0.161351050479758,-3.42627786439137,0.000611914048564471,0.00268331099606725
"ABHD10",155.383250332485,0.475910403075069,0.0727173326292211,6.54466254285882,5.96298777354456e-11,1.61633907525372e-09
"ABHD12",65.2119981328281,-0.527483850816572,0.0959469619100023,-5.49766079421408,3.84862333108466e-08,5.55616650264523e-07
"ABHD14B",207.878739306512,-0.281693553703295,0.0890216709378474,-3.16432561572525,0.00155442781857828,0.00590965545093744
"ABHD17A",508.655743500067,-0.204553111581708,0.069736455169542,-2.93323070529471,0.00335454522143357,0.0112767207023059
"ABHD17B",206.727374795453,-0.155785228827721,0.0735014416245657,-2.11948535136833,0.0340494704371543,0.0785047255920238
"ABHD17C",23.2764818889907,0.509349049607602,0.150165994424091,3.39190674667078,0.000694080585670785,0.00297476982356756
"ABHD2",2289.17023140353,-0.352576315322008,0.0984866462631882,-3.5799403137336,0.000343672697608675,0.00163712204164132
"ABHD5",286.599168889245,-0.656847580651933,0.175560367951438,-3.74143429019028,0.000182973020588443,0.000961039774899803
"ABHD6",36.9577895036938,0.718932691458303,0.154011967454477,4.66803134419283,3.04099515242055e-06,2.69596762716762e-05
"ABI2",400.874736157347,0.290072244204175,0.0774759268074053,3.7440306448383,0.000181091551651707,0.000952518756798821
"ABI3",229.373520839922,0.601632916834329,0.117710222755124,5.11113565799566,3.202279223099e-07,3.6238600715587e-06
"ABL1",274.266935626457,-0.180080214931334,0.0672591203435177,-2.67740960648305,0.00741938695922811,0.0220815374148493
"ABLIM3",458.195124167814,0.592563558227293,0.191929991535299,3.08739428104601,0.0020191957987861,0.0073352007096444
"ABO",53.1529621704467,0.682145008152897,0.187827757602179,3.63175824947921,0.000281496765183355,0.00138547068841449
"ABRACL",186.943192325383,0.307591998736946,0.122991168273767,2.50092753044084,0.0123868522620656,0.0338758289988454
"ABT1",200.505717185196,-0.219766364089641,0.0715745722471347,-3.07045305602142,0.00213734282718797,0.00768690537731125
"ABTB2",12.0427239536965,-0.592869473497193,0.188390737775566,-3.14702028612197,0.00164943517658587,0.0061952421163489
"AC000123.2",380.262233469055,0.739195475807348,0.160185492698001,4.61462185718004,3.93811664412116e-06,3.40106709049148e-05
"AC000123.3",9.87256489680328,1.0744622453677,0.246672133453061,4.35583148500299,1.32562734938743e-05,9.82750279428887e-05
"AC000403.4",5.50473675350421,0.619166842184844,0.235480358178269,2.62937786817917,0.00855412520833426,0.0248943330291001
"AC002511.3",3.4790403756116,1.03824539536244,0.31275900234968,3.31963392760038,0.000901355582703259,0.00370252858715255
"AC003080.4",9.64492622122357,-1.06732426072471,0.333357510665015,-3.20174055354417,0.0013659996833245,0.00528290029043299
"AC003104.1",98.5247564891316,-0.643100487708242,0.220671891027939,-2.91428366663528,0.00356505801666025,0.0118693181576417
"AC003973.3",13.0849092628944,0.836640131225165,0.315270617969666,2.6537205928453,0.00796097162140848,0.0234541097239893
"AC003991.3",1.96035828425286,-0.840732353110197,0.371095272352737,-2.26554315224759,0.0234793690809328,0.0576645523144972
"AC004067.5",17.3088064452074,0.810082621247294,0.208990134287442,3.8761763755466,0.000106110780199758,0.000600401452743582
"AC004076.5",6.97630002279129,1.36719339416066,0.282779270048815,4.83484307009015,1.33250712927639e-06,1.30259659690646e-05
"AC004453.8",12.5875191374643,-0.580778956068012,0.147073723206033,-3.94889680772146,7.85121855020967e-05,0.000461284189628367
"AC004893.11",58.2865003143215,0.270826044936509,0.10585123670813,2.55855343176834,0.0105108666103228,0.0295681473388203
"AC004951.6",36.0205944506284,-0.724824858495394,0.302144148895011,-2.39893726602416,0.0164427314501974,0.0427781028583987
"AC005037.3",1.92351619055296,-1.09236353329579,0.399514302414238,-2.73422885412289,0.00625265693487468,0.0191518881915211
"AC005224.2",4.75046722428935,0.749981860913248,0.246490793432156,3.04263640223817,0.00234515505515142,0.0083348017024894
"AC005306.3",8.64925664936126,0.623363363409079,0.25394866161736,2.45468260962264,0.0141009025842721,0.0377544271115608
"AC005307.3",46.9112915151207,0.631276456745415,0.219766636675371,2.87248540677221,0.00407256887892821,0.0133201051533979
"AC005329.7",2.32509987442486,-1.22038738748365,0.457065251998086,-2.67005068127288,0.00758397987532524,0.0224622694840817
"AC005562.1",36.5595486600658,-0.357205505109359,0.149172838751426,-2.39457469670192,0.0166396537531056,0.0432047974957014
"AC005618.6",2.49535450921391,1.32416130341308,0.39899939908771,3.31870500667594,0.000904359116861018,0.00371320640073096
"AC005785.5",2.23264463944158,-0.897099498352817,0.39416508457818,-2.27594866580549,0.022849082251364,0.0563393173096394
