"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7SK",6.94802328688531,0.538964964710122,0.418787693173963,1.28696466848236,0.198106603191816,0.5130436398587
"A1BG",7.18771384249386,0.0852661121333539,0.223951676233961,0.38073442256479,0.703400323698414,0.880119806915771
"A1BG-AS1",24.2259142724897,0.0686631549028518,0.1290801908946,0.531941845042035,0.594766274222602,0.822044146322061
"A2M",3.801641163186,0.470042183213532,0.256683563099699,1.83121263215035,0.0670688119817389,0.313182808262601
"A2M-AS1",173.132383869353,0.359409702350703,0.334505656258782,1.07445029889915,0.282620909137164,0.597117373508912
"A4GALT",5.32876034634403,-0.28343988710444,0.620839328284384,-0.456543060646129,0.647999513431293,0.852659130415557
"AAAS",113.770144224,0.128181472445564,0.0884006011144586,1.45000679666871,0.1470566239019,0.451825251077309
"AACS",46.989746652415,-0.0742196409189158,0.118142696316238,-0.628220306740324,0.529859629331115,0.781952410370438
"AAED1",110.406286187129,-0.290333917125481,0.126694167441949,-2.29161233691764,0.0219280229504559,0.189782635381371
"AAGAB",136.823954819822,0.0385971716115631,0.0586674244086489,0.657897836842365,0.510603780745995,0.769882504633565
"AAK1",2784.85374031424,-0.00204416992591491,0.100258874360761,-0.0203889175791002,0.9837331245049,0.994372032752292
"AAMDC",2.58204834882472,-0.0989856442847462,0.318015512761322,-0.311260426968659,0.75560264873937,0.904642903141742
"AAMP",97.1722754873123,-0.120686532891358,0.0832335305654668,-1.4499749328359,0.147065509604116,0.451825251077309
"AAR2",127.61295037299,-0.222495576319828,0.0832056784277425,-2.67404317258284,0.00749428029962345,0.126931970371479
"AARS",199.986431167376,-0.072465557452319,0.107401695892743,-0.67471520677557,0.499856721257319,0.762980124514866
"AARS2",47.2389949424895,0.0248762531323148,0.133357155302711,0.186538570621482,0.852022434645423,0.944666706308209
"AARSD1",21.7927007033261,-0.11375389617886,0.145803566421852,-0.780185965065741,0.435281422202091,0.720101734706868
"AASDH",180.495238323774,-0.0306170559850975,0.100543732984195,-0.304514812374337,0.760735709608775,0.907105753172881
"AASDHPPT",263.278404316988,-0.198582391717505,0.0862380271562231,-2.30272419564708,0.0212943659494156,0.188517361812102
"AASS",33.3178709725785,-0.0582393534977584,0.158666559885998,-0.367054995958842,0.713577995788793,0.885013386931744
"AATBC",128.793469807795,0.201507395733523,0.237943938083535,0.846869213632919,0.397068024080416,0.690705148741019
"AATF",231.406574359268,-0.023318018100037,0.0488253402257602,-0.477580248129729,0.632948991963065,0.844735831892437
"AATK",259.938538002107,0.399113698066534,0.185515801060696,2.1513730678712,0.0314467651890221,0.222469282050133
"ABALON",29.9028403720038,0.414461897397887,0.233511657944175,1.77490880346955,0.0759129464602181,0.333499676503296
"ABAT",228.766854315087,0.252140416077353,0.105809026984475,2.38297641763919,0.0171732944198399,0.172715054651824
"ABBA01017803.1",38.1907991252568,-0.190513573481454,0.187787307027402,-1.01451784200545,0.31033572020152,0.621098826125135
"ABCA1",550.167035361769,0.409494416023609,0.203479266389138,2.012462612483,0.0441711940191467,0.258255303220902
"ABCA10",11.9674223409209,0.131551278915636,0.227228298599934,0.578938801752198,0.562630467472291,0.801796702562342
"ABCA11P",17.26762006345,0.154928748981919,0.263889078725489,0.587097994847615,0.557137894183002,0.798985809954503
"ABCA13",73.5428141450852,1.29130023378269,0.316028750418051,4.08602138911262,4.38833345503049e-05,0.0103359880644151
"ABCA2",506.86567888107,0.160055265851116,0.105186341730134,1.5216354444739,0.128100451217113,0.423129108218081
"ABCA3",59.8032663836865,0.195356977378304,0.115283193605469,1.69458332362712,0.0901544928041153,0.363332156890357
"ABCA5",329.823938295518,0.284904470521868,0.174435319536327,1.63329577564442,0.102406804825568,0.382365395214166
"ABCA6",14.9117612879502,-0.24132933084093,0.238357574602275,-1.0124676391913,0.311314511934504,0.621819409014362
"ABCA7",522.026566528973,0.443661330968891,0.141821277194973,3.12831290017896,0.00175812905631362,0.0678108073794327
"ABCA9",4.34591852136874,0.21921398240037,0.228706055985121,0.958496623345348,0.337812393368194,0.644961954671708
"ABCB1",160.328814934714,-0.182295791176734,0.17970772467566,-1.0144015317413,0.310391193718239,0.621098826125135
"ABCB10",1122.78970081811,0.197511168337329,0.180895098224785,1.09185472837908,0.274896959137013,0.590617220038352
"ABCB4",27.2806573819829,-0.586879877856029,0.22431087285795,-2.61636839257312,0.00888706166232302,0.137332051392359
"ABCB5",17.7328835808671,0.00825413492084179,0.260873905792178,0.031640324070654,0.974758885517949,0.991007861754576
"ABCB6",26.5877435812743,0.661292450202186,0.190227849852264,3.47631774588087,0.000508349612498304,0.0399855829762719
"ABCB7",151.344938491787,0.0405393293933616,0.0576429190955964,0.70328376892451,0.481878923748732,0.750850417925496
"ABCB8",64.6069807733934,0.25889124841198,0.156417837584188,1.65512611867326,0.0978989177977006,0.374731177225651
"ABCB9",11.8531728825795,0.0811018320321528,0.177660246986456,0.456499601952797,0.648030757004346,0.852659130415557
"ABCC1",681.935292546642,-0.0258019188981463,0.0696689645125877,-0.370350256798842,0.711121532150554,0.883896266044154
"ABCC10",108.287445708787,0.149702657504641,0.142615839355787,1.04969166244693,0.29385989829366,0.606996621066125
"ABCC13",707.985814894175,0.305215001466407,0.253697617433605,1.20306609322527,0.228950745159428,0.54435651469647
"ABCC2",27.7300987298715,0.388268062360176,0.180139495197963,2.15537443320518,0.0311325453911382,0.221436652791966
"ABCC3",471.224197969949,0.671384997097526,0.17150867673397,3.9145832728855,9.05604799862266e-05,0.0163663177549464
"ABCC4",2380.08907495909,0.158390759487785,0.177018873974392,0.89476763653292,0.370911314032643,0.670090853179242
"ABCC5",383.764447787388,0.432328344953421,0.122841038170522,3.51941298601926,0.000432502882640016,0.0380107632927159
"ABCC6",14.8473948652158,0.6883890497676,0.22721336327617,3.02970318225027,0.0024479418503399,0.0802678487217611
"ABCD1",88.6535997796033,0.0382028571280358,0.0996552761399269,0.383350070440775,0.701460218717677,0.879501367282829
"ABCD2",267.890094576788,0.0131110718703682,0.184321179253507,0.0711316622618602,0.943292969144708,0.980284566228333
"ABCD3",243.998382272928,-0.0111184971578575,0.104418166705396,-0.106480486189985,0.915201137145317,0.970235136990459
"ABCD4",123.556334281069,0.179666823722084,0.156552071731993,1.14764896902586,0.251113505677207,0.565013384000492
"ABCE1",629.96307431368,-0.160152802720327,0.0685501697603706,-2.33628601183877,0.0194763400662771,0.182133164251342
"ABCF1",276.456626299172,-0.0668896316139986,0.0725748806798076,-0.921663680152755,0.356704030963639,0.659394799808778
"ABCF2",170.506780258474,-0.0857810868256691,0.0902163250942416,-0.950837741795187,0.341686750228142,0.647867332886703
"ABCF3",198.196879404594,0.0659188115903981,0.0956509491548761,0.689160036286349,0.490722562752936,0.756027740365482
"ABCG1",145.525719697754,0.00332908029172825,0.170171507521967,0.019563088675691,0.984391909164019,0.994522319515179
"ABCG2",288.741446227509,0.313086623444461,0.205617342061078,1.52266642641193,0.127842181633911,0.42275030673213
"ABHD10",155.383250332485,-0.108517087860106,0.0876182654248543,-1.23852129842921,0.215522829778337,0.53226499412254
"ABHD11",25.5168798430763,0.120168298983276,0.105247757699045,1.14176588281241,0.253551347233892,0.567390999352256
"ABHD12",65.2119981328281,-0.0875272683910114,0.110851992238695,-0.789586787060544,0.429769127192786,0.716180460932425
"ABHD13",685.419524694966,0.0246623367804407,0.0667511235915599,0.369466991017946,0.711779672744562,0.884191804744222
"ABHD14A",35.2925303699792,-0.267760825539967,0.131152268977072,-2.04160269302528,0.0411909579618098,0.249875780355553
"ABHD14B",207.878739306512,-0.123628033393652,0.0928599176773681,-1.33133903718485,0.183077478847364,0.49524443252365
"ABHD15",141.98262041691,-0.0549520548585052,0.095362039339307,-0.576246641108215,0.564448483578063,0.803204644949773
"ABHD16A",196.678995044552,0.25946168520623,0.0896823504650397,2.89311870017696,0.00381437114112356,0.0958476048477207
"ABHD17A",508.655743500067,0.0937037180863664,0.0723501377780216,1.29514222037641,0.195271172533004,0.509490674072997
"ABHD17AP1",3.94089267534548,-0.35972721078158,0.246184792712618,-1.46120809014189,0.143958343520614,0.447875644757914
"ABHD17B",206.727374795453,-0.173201120291225,0.0733823952281688,-2.36025438734575,0.0182624070558342,0.177548387804794
"ABHD17C",23.2764818889907,0.0867966130241394,0.159563780909693,0.543961872357881,0.586467710370461,0.817288742796955
"ABHD2",2289.17023140353,-0.0232787406376751,0.104907615795321,-0.221897528231818,0.82439365475561,0.933759548041667
"ABHD3",362.770158892013,0.338915001762686,0.124046029353089,2.7321713039116,0.00629184176906418,0.119682560272453
"ABHD4",334.337182294171,0.442237778963258,0.106171602295692,4.16531133938818,3.1092795441878e-05,0.00832203381031476
"ABHD5",286.599168889245,0.524958603326811,0.179645962466738,2.92218425684913,0.00347585844713323,0.0919335711802024
