"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA13",73.5428141450852,1.29130023378269,0.316028750418051,4.08602138911262,4.38833345503049e-05,0.0103359880644151
"ABCA7",522.026566528973,0.443661330968891,0.141821277194973,3.12831290017896,0.00175812905631362,0.0678108073794327
"ABCB6",26.5877435812743,0.661292450202186,0.190227849852264,3.47631774588087,0.000508349612498304,0.0399855829762719
"ABCC3",471.224197969949,0.671384997097526,0.17150867673397,3.9145832728855,9.05604799862266e-05,0.0163663177549464
"ABCC5",383.764447787388,0.432328344953421,0.122841038170522,3.51941298601926,0.000432502882640016,0.0380107632927159
"ABCC6",14.8473948652158,0.6883890497676,0.22721336327617,3.02970318225027,0.0024479418503399,0.0802678487217611
"ABHD16A",196.678995044552,0.25946168520623,0.0896823504650397,2.89311870017696,0.00381437114112356,0.0958476048477207
"ABHD4",334.337182294171,0.442237778963258,0.106171602295692,4.16531133938818,3.1092795441878e-05,0.00832203381031476
"ABHD5",286.599168889245,0.524958603326811,0.179645962466738,2.92218425684913,0.00347585844713323,0.0919335711802024
"ABLIM3",458.195124167814,0.619518018342047,0.191335667274839,3.2378595541842,0.00120430079685594,0.0575449174926023
"ABTB1",1486.58744106274,0.423204887119126,0.129100700550136,3.27809907549476,0.00104508707376519,0.0554398293034898
"AC003991.3",1.96035828425286,1.26244497232735,0.354267469228652,3.56353625997916,0.000365892125490757,0.034937753496185
"AC007278.2",47.7682029270976,1.60638058259005,0.374806699261278,4.2858907958586,1.82008385316767e-05,0.0065615880135116
"AC007278.3",54.1066808984062,1.63463718884587,0.361185725388383,4.52575247011256,6.01809872582661e-06,0.00418353332345105
"AC009495.2",12.5108764524782,0.744972198584783,0.237144035330429,3.14143342271612,0.00168123027845717,0.0659647232773918
"AC074367.1",5.7682129657737,1.05508908876882,0.342894815154518,3.0770050818452,0.00209091736186784,0.0746182933280716
"AC079767.4",14.3167526275614,-0.681532668736486,0.228999821273367,-2.97612751375431,0.00291913457817949,0.0868837014195183
"AC091878.1",8.04079898309417,1.34198028135483,0.392433154377828,3.41964043145752,0.000627039581162704,0.043154985251014
"AC138035.2",262.386499034884,0.714352019478366,0.244404727526065,2.92282406608597,0.00346872450801005,0.0919335711802024
"AC147651.4",20.7432609530243,0.482689901381356,0.163487232437481,2.95246236776282,0.0031525049357867,0.0886786193915816
"ACAA1",238.697979541242,0.401641994300679,0.101599622290758,3.95318393164158,7.71181103707369e-05,0.014545428532116
"ACHE",43.9219312743578,0.899063045104582,0.294267070102435,3.05526216301272,0.00224863870773804,0.0762422318084309
