"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7SK",6.94802328688531,-1.54523483035502,0.39501853163169,-3.91180338798832,9.16094796797622e-05,0.00119404185642175
"A1BG",7.18771384249386,-0.186447413433078,0.223253547454547,-0.835137517673877,0.4036402848184,0.590002477880582
"A1BG-AS1",24.2259142724897,0.138102650702173,0.128574524568106,1.07410586324214,0.282775236989579,0.470174912276711
"A2M",3.801641163186,-0.170566144835895,0.26110204288281,-0.653254731187416,0.513592071194674,0.688132209191353
"A2M-AS1",173.132383869353,-0.872918614479794,0.328350910349763,-2.65849305412295,0.00784909685299004,0.0354299123508379
"A4GALT",5.32876034634403,0.778421097711244,0.615903389246508,1.26386883284334,0.20627711014255,0.380542133125857
"AAAS",113.770144224,0.00837312164179884,0.0893261044305737,0.0937365588164277,0.925318428383122,0.961360284743344
"AACS",46.989746652415,0.311672520391564,0.113565428024415,2.74443134511464,0.00606158321101999,0.0290713495213212
"AAED1",110.406286187129,0.0989121515582049,0.129603377410407,0.763191157009633,0.445349401799788,0.628881085865362
"AAGAB",136.823954819822,-0.0153124671734513,0.0586611669595832,-0.261032433671179,0.794067495622742,0.886907177000681
"AAK1",2784.85374031424,0.225493657726652,0.0974627003141979,2.31364057223646,0.0206874462103046,0.0727922432420024
"AAMDC",2.58204834882472,0.323576991045232,0.317493587421994,1.01916071336317,0.308126674481288,0.496558402632157
"AAMP",97.1722754873123,0.283410832948168,0.0789567059890022,3.58944600586104,0.000331381457704714,0.00317708036147075
"AAR2",127.61295037299,0.276866880212018,0.0812645266978747,3.40698323687226,0.00065685161037674,0.00525081291670454
"AARS",199.986431167376,0.197593731016424,0.105665136432115,1.86999929861793,0.0614839152575548,0.160185907939232
"AARS2",47.2389949424895,-0.224693582992391,0.131024594293488,-1.71489623153565,0.0863642537047569,0.204800290914325
"AARSD1",21.7927007033261,0.48372619206447,0.137780046179255,3.51085810666031,0.00044666274554718,0.00399254677436623
"AASDH",180.495238323774,-0.366289729055351,0.0929878694903883,-3.93911303767651,8.17833939002673e-05,0.0010986953312128
"AASDHPPT",263.278404316988,0.0589299596690699,0.0882855689071416,0.667492551710826,0.504457565727552,0.680536119227076
"AASS",33.3178709725785,-0.241287790611581,0.15671753373065,-1.53963493980375,0.123649363714947,0.265812142514129
"AATBC",128.793469807795,-0.206698029871722,0.237649935913507,-0.869758407790819,0.384432445533591,0.57211915815178
"AATF",231.406574359268,0.0884075655381708,0.0479245093047511,1.84472552396914,0.0650774760143548,0.166944982438835
"AATK",259.938538002107,-0.365854495260345,0.185934237385823,-1.96765534096433,0.0491077075589065,0.136643302186955
"ABALON",29.9028403720038,-0.92753659783381,0.219142523140572,-4.23257241242418,2.31033491607707e-05,0.000434144530548716
"ABAT",228.766854315087,-0.16421993493726,0.1073739288362,-1.52942093781237,0.126160125135881,0.269381989049287
