"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7SK",6.94802328688531,-1.54523483035502,0.39501853163169,-3.91180338798832,9.16094796797622e-05,0.00119404185642175
"A2M-AS1",173.132383869353,-0.872918614479794,0.328350910349763,-2.65849305412295,0.00784909685299004,0.0354299123508379
"AACS",46.989746652415,0.311672520391564,0.113565428024415,2.74443134511464,0.00606158321101999,0.0290713495213212
"AAK1",2784.85374031424,0.225493657726652,0.0974627003141979,2.31364057223646,0.0206874462103046,0.0727922432420024
"AAMP",97.1722754873123,0.283410832948168,0.0789567059890022,3.58944600586104,0.000331381457704714,0.00317708036147075
"AAR2",127.61295037299,0.276866880212018,0.0812645266978747,3.40698323687226,0.00065685161037674,0.00525081291670454
"AARSD1",21.7927007033261,0.48372619206447,0.137780046179255,3.51085810666031,0.00044666274554718,0.00399254677436623
"AASDH",180.495238323774,-0.366289729055351,0.0929878694903883,-3.93911303767651,8.17833939002673e-05,0.0010986953312128
"ABALON",29.9028403720038,-0.92753659783381,0.219142523140572,-4.23257241242418,2.31033491607707e-05,0.000434144530548716
"ABCA10",11.9674223409209,-0.533085818984451,0.220828079724012,-2.41403094955449,0.0157771221434622,0.0596486218375949
"ABCA11P",17.26762006345,-0.614786366612785,0.256679019333762,-2.39515628588783,0.0166132822846409,0.0619056978562715
"ABCA5",329.823938295518,-0.450774313574258,0.170923425346771,-2.63728808769028,0.00835718234666978,0.0370270726053754
"ABCB1",160.328814934714,0.517325389612597,0.173393848220571,2.98352793320854,0.00284946024818582,0.0162884542585253
"ABCB10",1122.78970081811,-0.717235817249,0.16801059873226,-4.26899149613758,1.96358753971106e-05,0.000389285995736892
"ABCB5",17.7328835808671,-0.655707575148493,0.252416388801067,-2.59772187639237,0.00938444700500971,0.0403904840885406
"ABCB6",26.5877435812743,-0.830361238048001,0.18381626286403,-4.51734370566671,6.26202169689306e-06,0.000172396561262909
"ABCC13",707.985814894175,-0.776213716314911,0.244735780821724,-3.17163969121596,0.00151580946432247,0.010067779665818
"ABCC3",471.224197969949,-0.826061351517137,0.164977766584461,-5.00710713097352,5.52541768702507e-07,3.16343072436594e-05
"ABCC4",2380.08907495909,-0.88084669605107,0.155697981494384,-5.65740600871466,1.53677926351172e-08,2.68980279093508e-06
"ABCC5",383.764447787388,-0.315923815143804,0.126243288647444,-2.5024998835865,0.0123319666055762,0.0493869867677663
"ABCF2",170.506780258474,0.196111941312324,0.0882934085341254,2.22113909258047,0.026341541972886,0.0868817046621856
"ABCG2",288.741446227509,-0.819479308062497,0.192400190482058,-4.25924374611738,2.0511970088305e-05,0.000400604661299542
"ABHD14A",35.2925303699792,0.40784385231383,0.127660573072912,3.19475185248382,0.00139951116211775,0.00946640270055211
"ABHD15",141.98262041691,0.380481454636922,0.0870807630647267,4.36929398923746,1.24648866457847e-05,0.000284924983552526
"ABHD16A",196.678995044552,-0.267872771066184,0.0892213585367593,-3.00233907507494,0.00267913580344682,0.0155175410638972
"ABHD17B",206.727374795453,0.354762124166679,0.0655344884411053,5.41336527690298,6.18511345232918e-08,7.16760362447171e-06
"ABHD4",334.337182294171,-0.416512627499706,0.107022648183844,-3.89181761587716,9.94960288468849e-05,0.00127246904533615
"ABHD8",33.5528983614125,0.285436297356383,0.10571779601727,2.6999834286155,0.00693429299244338,0.0322465679694141
"ABI1",1268.72654625644,-0.187148012170528,0.0563105259175442,-3.32349963210378,0.000888955400331246,0.00663305820027918
"ABL1",274.266935626457,0.196384416689157,0.0670987041233097,2.92679894872864,0.00342470191645837,0.0187542228309511
"ABLIM1",2294.46519335154,0.211537162532456,0.0924112073369398,2.28908558418863,0.022074380243859,0.0764718115215156
"ABLIM3",458.195124167814,-0.788336763224192,0.185436174841825,-4.25125660565763,2.1257444234231e-05,0.000410366922412498
"ABO",53.1529621704467,-0.688538887060733,0.18748790282047,-3.67244433748905,0.0002402414904674,0.00247347793378705
"ABRACL",186.943192325383,0.367624642544859,0.121459001553681,3.02673855245205,0.00247207673463368,0.0145895395726069
"ABTB1",1486.58744106274,-0.544740059661559,0.124349369036848,-4.38072234608715,1.18286520223307e-05,0.000273208582384789
"AC000123.2",380.262233469055,-0.527337901505508,0.167874491392942,-3.14126283945768,0.00168220988734072,0.0108857934188548
"AC000123.3",9.87256489680328,-0.610293090489941,0.258652854216502,-2.35950649892733,0.0182992603384258,0.0666343979591024
"AC002511.3",3.4790403756116,-0.767121827575007,0.317253204253623,-2.41801128338406,0.0156055928954494,0.0591461303841142
"AC003080.4",9.64492622122357,-0.896335055744993,0.335970408093591,-2.66789882130125,0.00763272399497052,0.0346356053282884
"AC004381.6",21.027005707496,-0.791716743037698,0.183294828735447,-4.31936213639938,1.56480825460394e-05,0.000331313895197135
"AC004951.6",36.0205944506284,0.857651087921969,0.299777802628323,2.86095594938135,0.00422365733300737,0.0220894634223134
"AC004987.9",11.4241769326676,-0.568364632873441,0.212131474425944,-2.67930364605965,0.00737754583744271,0.0337863287815904
"AC005076.5",1.58683755408648,-0.893466669805545,0.390608976573458,-2.287368502494,0.022174323152207,0.0766735109861262
"AC005082.12",5.14529893865226,0.674148823004042,0.312137900170774,2.15977881133694,0.0307897966943028,0.0977128101619575
"AC005154.6",674.213865070515,-0.360925436297779,0.155912599051007,-2.3149215553754,0.0206172254735048,0.0726425172070689
"AC005306.3",8.64925664936126,-0.615508715024393,0.252911223384954,-2.43369474389649,0.0149455932797906,0.0571991073086196
"AC005307.3",46.9112915151207,-0.926170897111352,0.210160605941285,-4.40696719998088,1.04828054886067e-05,0.000251505220978607
"AC005477.1",12.3462956590047,-0.730419982820004,0.260839158762313,-2.80026966152575,0.00510599328665389,0.0254855906089422
"AC005562.1",36.5595486600658,0.358450557922855,0.150062511119943,2.3886749278529,0.0169092564338001,0.0627458905961652
"AC005618.6",2.49535450921391,-0.899449512395808,0.403397307209685,-2.22968645630616,0.025768265644658,0.085327781264419
"AC005682.5",18.4973048236384,-0.485523451183346,0.193662744829513,-2.50705654105423,0.01217412360279,0.0489897183210149
"AC005730.2",12.0633905219597,-0.882092562670696,0.212240619200817,-4.15609682063772,3.23730677252039e-05,0.000557593475776755
"AC006116.19",3.30074781629831,-1.23263035295548,0.399618083212723,-3.08452095822532,0.00203880244851347,0.0125524661302447
"AC006116.22",6.9176410675544,-0.708162018636594,0.250139803188291,-2.83106490694538,0.00463933053678782,0.0237299239090138
"AC006129.2",98.2161215772991,0.331269856503274,0.113968034815938,2.90669095977908,0.00365273871904862,0.0196574032734043
"AC006548.28",5.32316938591473,1.02204030543385,0.358309386610723,2.85239612364445,0.00433909914726475,0.0225201819057982
"AC006978.6",98.7573992364232,-0.274380686800982,0.121240219925487,-2.26311604325374,0.0236285368307482,0.0801782219120183
"AC007036.5",68.5317790129173,-0.669787648205255,0.17070310628011,-3.92369923899444,8.71995861943165e-05,0.00115196847750695
"AC007038.7",86.4117918113231,-0.813356214056575,0.20025869707567,-4.0615275437912,4.87526648598981e-05,0.000750399057617427
"AC007238.1",13.0414242365926,-0.325533525440706,0.151571330361641,-2.14772493362696,0.0317356134066715,0.0999720780232788
"AC007256.5",215.242539606549,-0.686116707190895,0.142202263652059,-4.82493519842757,1.40048794635148e-06,6.18705948991527e-05
"AC007405.4",3.31769795320788,-0.948457536212569,0.423463968963391,-2.23975970974419,0.0251065268418562,0.0838008990736712
"AC007566.10",4.63018138974038,-0.615884013705457,0.224200372635279,-2.74702493339454,0.00601385624302643,0.0288948104664941
"AC007620.3",19.1100605487292,-0.563887344846089,0.253225640391429,-2.22681772657163,0.0259594581735568,0.0858680565719271
"AC007950.2",3.81219726728149,-0.848311186255978,0.391797153206199,-2.16517955608912,0.0303739373263019,0.0968034284798823
"AC009237.8",3.09498468075306,-1.20225948568008,0.429231854976956,-2.80095587440645,0.00509514854041742,0.025444349672846
"AC009495.2",12.5108764524782,-1.05716337102978,0.225156338378111,-4.69524144265687,2.66292003039194e-06,9.64853675186164e-05
"AC009542.2",3.11130269761225,1.43833598330041,0.421599303151311,3.41161850256711,0.000645784244714186,0.00518263006522153
"AC009961.2",1.69699549574705,-1.22166904960668,0.486863934387293,-2.50926175327429,0.0120983797269723,0.0487917539219435
"AC010150.1",2.92038037277611,-1.60225652425827,0.441410388177937,-3.62985685695369,0.000283578435364407,0.00281708350547409
"AC011330.13",4.27282444008793,0.865805103029331,0.280416508690183,3.08756822868054,0.00201801440760452,0.012453683271644
"AC012507.4",8.59305407913079,-0.672799192907045,0.276239948011291,-2.43556081497505,0.0148687249756154,0.0569879932433493
"AC015969.3",4.91151541069771,-0.875504975333436,0.276393228785191,-3.16760645396949,0.00153699426948921,0.0101790561025847
"AC016549.1",13.2198276445746,-0.827163170250072,0.320043007318158,-2.58453755069168,0.00975096858150649,0.0416074531207166
"AC016629.3",4.25983178547226,-1.08861262780306,0.393082078862908,-2.76942828569584,0.00561547649279895,0.0274147177580679
"AC016700.5",2.6713669295345,-0.834614612032181,0.352066261686981,-2.37061798546954,0.0177583750344027,0.0650993471181334
"AC016747.3",23.5523318000278,0.32659521587041,0.149778158105751,2.18052631973093,0.0292184700451383,0.0941734553647057
"AC018442.1",13.6016470277303,-0.7841872703279,0.229721499398039,-3.41364335677235,0.000641004254426967,0.00515101713504976
"AC018463.4",16.864487127851,-0.573413448716974,0.228579344771847,-2.50859695695303,0.0121211698262697,0.0488164296177737
"AC018634.9",2.82924648265577,-1.34936928770251,0.365929626131886,-3.68751036084787,0.000226458875712508,0.002376848211219
"AC021188.4",4.97317692680105,-0.820146784011936,0.27506092315289,-2.98169138171643,0.00286660812689768,0.0163610323466229
"AC022007.5",7.53590335814421,-0.459212084422813,0.197294289801118,-2.32754878453766,0.0199360756761126,0.0707990722271685
"AC024560.3",83.6075678571532,-0.48597983738441,0.181337096933006,-2.67998024454947,0.00736265052872737,0.0337433395054742
"AC025171.1",68.1902194383114,-0.645141280355997,0.162726945374682,-3.96456332951219,7.35304244839713e-05,0.00102296906977019
"AC073052.1",18.5678104857677,-0.552227958673164,0.215440258442598,-2.5632533244491,0.0103696357779863,0.043569539626848
"AC078883.3",15.9420231624992,-0.418567377648862,0.181107920060029,-2.31114894097467,0.0208246295005761,0.0731628829978184
"AC078899.1",3.76960830872159,0.618854480826104,0.201963073988711,3.06419618499516,0.00218255732133295,0.0132686200633334
"AC083843.1",58.5513653501831,-0.995126720660027,0.249518417724089,-3.98818944804472,6.65794865431117e-05,0.000947670319765534
"AC083899.3",5.5113523605039,-0.796095339323024,0.292244878990951,-2.72406942448998,0.00644829501984465,0.0304331704865703
"AC084219.4",5.77342256725816,-0.582232048927748,0.215686701413805,-2.69943415663217,0.00694574985245963,0.0322835080395809
"AC093323.3",75.4765011343751,0.271183345940946,0.0898879431940812,3.01690456255542,0.00255370198624632,0.0149779037700416
"AC093616.4",33.4017681884789,-0.55333137002516,0.227291376845181,-2.43445826104551,0.0149140998123179,0.0570904658093686
"AC093642.4",8.05318042235627,0.869547936808951,0.223990583774069,3.88207362183596,0.000103569509031722,0.00131268995654137
"AC093642.5",90.0137081935074,-0.549490897342365,0.0961705494277628,-5.71371278018025,1.10537506159454e-08,2.20810683499831e-06
"AC093818.1",24.5884153526935,-0.571582423927413,0.144761926939669,-3.94843061301351,7.86652095193781e-05,0.00106931155365912
"AC096772.6",36.1084810711102,0.224962104501952,0.0958601280775255,2.34677450378553,0.0189367114525316,0.0681555734429546
"AC104623.1",21.6638367392096,-0.579977841291908,0.232598318745274,-2.49347391855854,0.0126499877463588,0.0503097759797842
"AC108938.5",45.1941720114842,-0.669810179624645,0.293488092360337,-2.28223971282034,0.0224751916686892,0.0773033053768759
"AC112198.1",3.42021631189529,-0.795045473374852,0.333831112033064,-2.38157992085563,0.0172385496678072,0.06364203812675
"AC125232.1",241.488093351743,-0.292605588632172,0.0895531704436468,-3.26739508140921,0.00108542090155937,0.00777393176087746
"AC133528.2",3.2306513502167,0.597471416506653,0.27473762097523,2.17469822438522,0.0296527380502085,0.0951725497531841
"AC135048.13",6.63601441471455,-0.586550119361312,0.255637167023676,-2.29446338414081,0.0217638959654424,0.075753196979716
"AC137932.6",21.7095378717922,-0.592642766071079,0.189518773819011,-3.12709265751714,0.00176544277514827,0.0113128686616718
"AC144652.1",22.4806838574336,-0.585924235461853,0.164957846485118,-3.55196341336035,0.000382368023311341,0.00354013074680898
"AC144831.1",12.905086718324,1.22871345420813,0.29877538270017,4.11249897198249,3.91399214196781e-05,0.000638255080612994
"AC147651.4",20.7432609530243,-0.50776072261974,0.162175360741461,-3.13093629203767,0.00174249956692826,0.0111892582253695
