"","Mono","CD4 T","CD8 T","NK","B","other T","other","DC"
"BOB10582_3",0.24072225117845,1.68525631972377e-05,0.0190290708627962,0.0211784213022987,0.0513035566113533,0.195856428561384,0.461670946329165,0.0102224725913554
"BOB10852_2",2.02877991804123e-06,1.59357742071312e-05,0.155867461466334,0.0231697959543223,0.0476291850923108,0.0635887016839765,0.70646355099792,0.00326334025101164
"BOB10991_5",0.154941176972888,0.000965359351642168,0.14483581941171,0.0316469947933117,0.0902058058367779,0.118541891808984,0.439069269410008,0.0197936824146774
"BOB11031_5",0.262255709623635,0.0727479721808851,9.376632583016e-06,0.0620627611658138,0.0460326092924698,0.0609343412292765,0.492349759265727,0.00360747060960962
"BOB11117_2",0.10132911260272,6.6539259125175e-06,0.236622180385744,0.00818494189323713,0.233792647229688,0.0722592191539013,0.328812772298221,0.0189924725105758
"BOB11228_2",0.026236278123053,4.60919710956772e-06,0.225120974825565,0.0261771575792387,0.0809557943587034,0.113127272100058,0.505039123366699,0.023338790449574
"BOB11390_2",2.81546239033252e-07,5.05690086173993e-07,3.5862615370491e-07,0.00472601062307113,9.78951876689574e-07,3.74175700038545e-07,0.995270545056321,9.45330552417394e-07
"BOB11738_2",5.33889689131568e-07,7.71221935794134e-07,9.16205784923516e-07,0.00794545782822104,2.86842856903789e-06,7.92405649478101e-07,0.992046662888465,1.99713168547027e-06
"BOB11940_4",0.100561266422371,1.00576209915294e-06,9.49258340124628e-07,0.0276164372764009,2.56003433345095e-06,1.22950280539891e-06,0.871211741179171,0.000604810564478442
"BOB12075_4",0.212095445505542,0.016056367163195,3.75625321065526e-05,0.0629639713473957,0.0557862827543418,0.106318876452651,0.542882026867007,0.00385946737776
"BOB12090_4",0.00470288482980843,0.10999565151391,3.24185632957026e-05,0.0724701371718962,0.0621149704689175,6.63238674984491e-05,0.743793934846306,0.00682367873836827
"BOB12339_2",0.000836481523873393,1.17828259566345e-05,0.000129906652389575,0.0801514842868553,0.0841659175359808,0.0429964758679535,0.775234512774728,0.0164734385322627
