sampleID,CD14 Mono,CD4 TCM,CD8 Naive,NK,CD8 TEM,CD16 Mono,B intermediate,CD4 Naive,CD4 CTL,B naive,MAIT,gdT,CD8 TCM,dnT,B memory,Doublet,pDC,CD8 Proliferating,Treg,Plasmablast,CD4 TEM,cDC2,NK Proliferating,ASDC,HSPC,Platelet,NK_CD56bright,CD4 Proliferating,Eryth,cDC1,ILC
BOB10582_3,0.151010348,3.87E-04,1.47E-05,0.007288895,8.76E-06,5.20E-06,0.065738119,4.32E-06,3.45E-06,3.52E-06,4.59E-06,0.058942427,1.07E-04,0.05777717,6.86E-06,0.070373354,0.007450018,3.03E-06,4.23E-06,1.19E-06,2.85E-05,1.26E-06,0.014184956,2.07E-06,0.061077357,0.155770398,0.031229956,2.12E-06,0.318561704,8.82E-07,6.37E-06
BOB10852_2,3.76E-06,0.044631442,0.001661155,6.25E-06,5.14E-06,3.93E-06,0.065664598,6.78E-06,1.94E-06,5.21E-06,4.87E-06,3.26E-04,0.018386154,0.086149421,9.75E-06,5.52E-05,0.002937096,3.08E-06,3.50E-06,1.66E-06,1.64E-04,2.04E-06,0.024868565,1.54E-06,0.085407285,0.046438267,0.007070511,1.60E-06,0.616165509,8.72E-07,1.25E-05
BOB10991_5,0.112722741,0.038808431,0.012585801,2.46E-05,6.66E-06,6.01E-06,0.10610413,4.66E-06,2.23E-06,4.17E-06,3.51E-06,0.001173156,0.010717981,0.120677727,6.44E-06,0.015161838,0.019059888,1.91E-06,2.75E-06,3.74E-06,3.67E-04,1.46E-06,0.031971657,1.94E-06,0.050158797,0.035033741,0.029286113,1.89E-06,0.414680361,8.30E-07,0.001417562
BOB11031_5,0.154888868,0.015341106,2.93E-05,0.00924919,2.16E-05,5.22E-06,0.055556845,3.43E-06,2.34E-06,5.91E-05,4.06E-06,0.059042812,0.005566711,0.015601771,1.78E-05,0.103833483,0.00476038,1.45E-06,3.03E-06,6.90E-07,0.003353323,7.40E-07,0.024129879,9.41E-07,0.023074256,0.079742114,0.031336521,8.37E-07,0.405085304,4.75E-07,0.009286485
BOB11117_2,0.054889492,0.015252225,0.01713314,1.20E-05,7.47E-06,1.32E-05,0.254043436,4.39E-05,3.72E-06,1.05E-05,3.25E-06,2.29E-04,0.002584557,0.124707572,1.92E-05,0.022252655,0.011777643,4.38E-06,7.38E-06,2.71E-06,5.68E-05,2.53E-06,0.010704043,4.53E-06,0.108590922,0.039040581,0.026344945,3.13E-06,0.312241065,1.67E-06,1.23E-05
BOB11228_2,1.57E-04,4.93E-04,0.03933719,1.04E-05,2.04E-05,8.73E-06,0.100977204,5.17E-05,3.84E-06,7.87E-06,5.94E-06,0.011370482,9.97E-04,0.133577532,1.05E-05,0.037037263,0.010769954,4.57E-06,8.47E-06,3.83E-06,2.46E-05,2.99E-06,0.028404455,3.97E-06,0.117629663,0.089343176,0.023746173,4.28E-06,0.405978163,2.08E-06,6.67E-06
BOB11390_2,1.16E-06,1.44E-06,8.43E-07,1.22E-06,1.21E-06,3.20E-06,0.003960158,1.09E-06,6.22E-07,9.99E-07,4.60E-07,1.20E-06,1.96E-06,1.00E-06,2.36E-06,4.54E-04,0.002070799,2.30E-06,6.24E-07,1.10E-04,7.25E-07,6.01E-07,0.02467757,8.52E-07,0.044158459,0.023821004,1.31E-06,3.13E-06,0.900718289,8.26E-07,8.85E-07
BOB11738_2,2.28E-06,1.42E-06,2.59E-06,1.22E-06,1.25E-06,7.35E-06,0.007283352,1.71E-06,9.39E-07,2.80E-06,9.82E-07,1.77E-06,1.65E-06,2.17E-06,2.57E-06,0.003718149,0.002094657,2.05E-06,1.76E-06,3.78E-06,1.70E-06,2.18E-06,0.024322581,1.10E-06,0.046099926,0.028889362,1.67E-06,8.92E-04,0.886652131,1.15E-06,1.77E-06
BOB11940_4,0.087830816,1.66E-06,1.38E-06,2.41E-06,1.58E-06,1.15E-05,0.001645009,1.07E-06,1.00E-06,3.92E-06,1.09E-06,1.76E-06,1.47E-06,1.78E-06,3.29E-06,0.033787338,0.003657556,9.99E-07,1.02E-06,4.40E-06,1.70E-06,1.09E-06,0.035327617,2.12E-06,0.018018892,0.172761041,2.48E-06,3.99E-06,0.646917238,1.23E-06,1.51E-06
BOB12075_4,0.136427418,0.001756928,1.72E-04,0.005623003,5.76E-06,3.26E-06,0.070133996,3.99E-06,1.47E-06,9.74E-05,2.91E-06,0.063283351,0.001384988,0.04232934,2.87E-06,0.057787132,0.005547832,9.35E-07,4.74E-06,1.58E-06,1.16E-04,1.11E-06,0.036967502,1.60E-06,0.031617095,0.074665195,0.014202122,1.25E-06,0.454569634,6.09E-07,0.003286767
