BOB#,CIBERSORT_CD8,CD8A,richness,gini_simpson,inv_simpson,Chao1,ACE,Shannon,ACE_bin,Chao1_bin,gini_simpson_bin,inv_simpson_bin,richness_bin,shannon_bin
BOB12371,0.049851841,3.88940034,1314,0.998849195,868.9573199,2965.025194,3106.864318,0.97760209,low,low,low,low,low,high
BOB12540,0,4.212970703,9640,0.999242454,1320.051365,18599.22586,15488.89081,0.94462826,high,high,high,high,high,low
BOB16124,0,3.130720473,1516,0.99901016,1010.264081,3867.078755,5079.617008,0.980691663,low,low,low,low,low,high
BOB17103,0.137310987,3.91990026,10650,0.99733529,375.2754112,24720.68815,25011.07442,0.946124785,high,high,low,low,high,low
BOB17481,0.042129756,3.304330722,2301,0.998255047,573.0813455,6232.006545,7151.747875,0.952552166,low,low,low,low,low,low
BOB18762,0.00508005,3.13120507,14139,0.999619777,2630.034161,49590.11938,83140.14809,0.97291271,high,high,high,high,high,high
BOB20101,0.051565041,4.082902156,5507,0.994773223,191.3224848,14946.03688,18534.83442,0.93384365,high,high,low,low,low,low
BOB20533,0.034401476,3.516500884,8531,0.99974661,3946.487904,16358.77608,13672.85237,0.969597078,high,high,high,high,high,high
BOB20722,0.11982802,5.800249235,15694,0.999463573,1864.187157,45073.98031,49378.13359,0.941130347,high,high,high,high,high,low
BOB21170,0,1.788746644,9190,0.999595462,2471.953486,28285.45089,36419.15125,0.965313338,high,high,high,high,high,high
BOB21321,0,2.785020256,4927,0.999527127,2114.730699,10908.23467,9680.695894,0.966881631,high,high,high,high,low,high
BOB21695,0,2.195749134,2687,0.999196563,1244.652353,6818.211207,6448.014969,0.965005729,low,low,high,high,low,high
BOB23664,0.048590787,3.569699119,9154,0.999514624,2060.259069,17573.80803,15749.92213,0.961504882,high,high,high,high,high,high
BOB23984,0,3.134586454,8072,0.999767808,4306.777754,16500.51564,15927.30585,0.97767545,high,high,high,high,high,high
BOB25183,0.293178319,4.300108643,2351,0.998936085,939.9243917,4515.647239,3693.325168,0.959936603,low,low,low,low,low,high
BOB26804,0.044207253,4.256145201,9545,0.9996824,3148.612117,18094.51776,15457.70413,0.966966852,high,high,high,high,high,high
BOB27302,0,3.443027201,6797,0.998318077,594.5575816,13198.55709,11500.37305,0.949997065,high,high,low,low,high,low
BOB28258,0.090947096,3.250014523,2946,0.978461075,46.4275714,5524.569984,4638.744289,0.878927014,low,low,low,low,low,low
