"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",28.9292459269236,-0.0706648767058743,0.526736109148842,-0.134156127667158,0.893279117272471,0.987416711442264
"A1BG-AS1",54.1118067217373,0.0110296249731044,0.436352703103453,0.0252768572181605,0.979834133297156,0.997356017232426
"A2M",10974.3821611572,-0.235048422743305,0.176825581582581,-1.32926707006776,0.183759874353599,0.790388357463086
"A2M-AS1",28.0800965993428,0.469350062952103,0.514164746911669,0.912839835424841,0.361326784006373,0.87778106234119
"A4GALT",168.913781198469,-0.575716502082066,0.484546593955465,-1.18815509027183,0.234772313362617,0.822931335578812
"AAAS",1026.27785461816,-0.0399471953182759,0.11598669684217,-0.344411871411723,0.730536562279788,0.957792471639756
"AACS",389.686767393783,-0.00499963983190399,0.474556929445982,-0.0105353847382247,0.991594134676107,0.99854062627906
"AADAT",205.86451020656,-0.10389890613865,0.308091371296857,-0.337234066963011,0.735940458150924,0.958346879178958
"AAED1",87.1666247941727,0.684507661163705,0.273686567668198,2.50106414427165,0.012382074956231,0.506004210756527
"AAGAB",349.52153697667,0.120026273816048,0.204664359813306,0.58645420201903,0.557570329396941,0.924804591680071
"AAK1",1257.61698358609,0.112982879110815,0.18284101024237,0.617929637125979,0.536621721669158,0.920428815563451
"AAMDC",46.0471170539163,0.509725951680819,0.35559521076273,1.43344436666481,0.151730887008402,0.767333121384971
"AAMP",398.599915764784,-0.27509809178224,0.232207366913149,-1.18470871720936,0.236132634646221,0.822931335578812
"AAR2",174.932512064829,-0.162284965418633,0.217461669035186,-0.746269290301337,0.455504758609164,0.900736056508578
"AARS",2351.38904040227,-0.109205677832085,0.218488511422887,-0.49982343291596,0.617199409235749,0.934379574799905
"AARS2",268.497551844214,-0.566498340669177,0.166890626424078,-3.39442875137681,0.000687719321480338,0.233956078758869
"AARSD1",163.618645961012,-0.210167134310713,0.247198865040715,-0.850194576241672,0.395216916682615,0.886337792709275
"AASDH",453.742398627491,0.021694830667033,0.179154085274183,0.121095930543981,0.903615052412265,0.989198747021526
"AASDHPPT",109.041870896852,-0.0531382954088836,0.195955365247854,-0.271175506430619,0.786256050446862,0.96868856255945
"AASS",1461.58275438022,0.0360947320930276,0.310447737957299,0.116266693809804,0.907441181046426,0.989198747021526
"AATF",396.530722060683,-0.0507185373707221,0.168944748512592,-0.300207836095845,0.764018628256307,0.963965234590104
"ABAT",363.525290471425,-0.50706932704432,0.513844620030043,-0.98681451022037,0.323733580009279,0.855534369008738
"ABBA01017803.1",60.6054588192715,0.817723710396605,0.319591896286949,2.55864970262701,0.0105079566096197,0.480903987903123
"ABCA1",4350.99969867643,0.2794571625872,0.335557714194573,0.83281400118597,0.404949637083584,0.887507642609374
"ABCA10",1528.63398910514,-0.290207348716542,0.436206907742688,-0.665297462202802,0.505860253462666,0.910918273549399
"ABCA11P",262.251997416742,-0.171706235940161,0.321889513407646,-0.533432214434116,0.593734422632558,0.928448198915083
"ABCA12",585.00420896984,-0.0573799494484095,1.09094587200702,-0.0525965136499826,0.958053394831902,0.995404677071826
