,BOB12371,BOB12540,BOB16124,BOB17103,BOB17481,BOB18762,BOB20101,BOB20533,BOB20722,BOB21170,BOB21321,BOB21695,BOB23664,BOB23984,BOB25183,BOB26804,BOB27302,BOB28258
7SK,0,1.162118,2.056125,1.008361,1.063009,0,1.411654,0.881509,1.253108,0.723992,0.758728,0.824142,0.814949,3.016701,0,2.192629,0,1.176196
A1BG,8.345882,5.153782,5.210311,13.664304,2.892635,6.104452,2.585808,7.957996,2.737425,23.376378,11.246658,14.888001,3.52908,0.121689,7.140426,2.841489,5.734183,1.497353
A1BG-AS1,2.154645,3.077343,0.492447,7.571407,4.710593,1.946402,3.002073,1.535784,2.594102,0.532611,5.108313,3.580085,1.799925,5.853057,4.064216,4.396685,2.168244,4.639357
A2M,427.743584,425.682452,359.635368,292.475227,474.391451,415.943192,347.996005,536.278872,289.293704,627.290614,420.409542,339.413872,233.206785,304.604755,419.587242,359.36459,221.569359,463.756534
A2M-AS1,3.306306,4.364809,0.477019,1.918051,1.363957,0.880267,2.536313,1.669785,2.50141,1.508572,0.780904,0.316543,0.412703,1.181778,0.688858,1.383268,0.289502,1.3882
A2ML1,2.566039,0,0,0.073266,0.116817,0.074401,0,0,7.209781,3.366456,0.790807,0,2.506166,0,0.508468,0.825619,0,0
A4GALT,3.235064,8.437519,2.955638,7.482768,9.524018,8.393981,7.75338,20.809003,6.326404,6.893473,12.539103,28.958598,1.367642,4.394008,9.042882,11.116599,7.415918,22.923414
AAAS,150.683464,98.715603,81.914843,90.517812,111.696387,86.664376,96.616646,86.249611,102.336708,181.75304,105.898134,96.420557,72.071527,86.748516,85.441228,75.522128,83.553813,100.417496
AACS,1.462002,7.592749,8.836134,13.782357,14.650481,23.638044,20.035398,8.765457,17.519107,20.464066,15.127788,36.531693,13.952741,15.698017,34.584804,14.781626,39.147138,16.324428
AADACL2-AS1,1.758506,0,0.317256,0.394176,0,0,0.338354,0,0.990132,0,1.065136,0.628026,0,0,0.677487,1.377444,0,1.28642
AADAT,18.084899,14.809387,24.516927,4.363849,15.734166,12.327966,8.199055,20.932838,10.292365,51.95377,15.705837,7.91,8.055311,14.156859,9.738853,10.831023,13.736758,21.17559
AAED1,8.676249,5.427774,1.641176,4.83229,5.625737,6.283314,25.021723,11.86239,14.204143,42.437886,12.903628,5.221426,5.316346,4.244922,6.076047,9.859553,5.925921,8.643041
AAGAB,33.315476,47.925737,39.310922,59.143121,45.955512,41.237088,38.671028,38.142604,28.18906,35.707344,32.489253,50.896693,50.037226,39.361424,34.193934,23.743064,48.489972,41.62092
AAK1,54.682983,73.101267,51.079946,55.397217,70.692349,62.218193,61.322767,94.631333,78.768978,53.803726,76.065377,38.638525,51.457396,84.487984,46.454784,48.904286,43.238265,64.365045
AAMDC,4.04917,20.83507,13.624997,5.060017,10.71223,17.17655,18.566753,8.342692,11.213547,8.686937,21.982411,21.108804,15.690385,14.555759,9.47198,19.78871,19.546927,7.563219
AAMP,44.92485,29.805211,89.387831,60.125941,67.393254,39.279542,43.004445,47.591697,45.507785,43.667822,48.344982,67.877981,59.952289,119.874026,72.519352,74.500362,76.389528,78.391428
AAR2,15.637313,9.666696,8.633856,12.899993,8.279874,11.21759,6.335231,9.912988,6.002833,8.900073,8.093054,11.11418,10.578704,11.253574,10.620646,7.626791,10.364064,9.396556
AARD,0.495666,0,0.082282,1.935471,0.225184,0.965869,2.124613,0,0.279415,0,0,0.729706,0.526361,0.448821,0.916615,0.450163,5.214646,0.335055
AARS,47.191738,64.79915,97.607744,94.335019,95.521299,67.258551,101.202873,63.741913,82.540104,108.836541,115.77323,113.68967,88.5385,103.682761,96.862945,59.073892,98.309999,137.480284
AARS2,12.358068,3.514304,11.92593,9.17923,10.010311,8.507641,6.677974,6.318779,9.022411,4.725416,7.716976,10.909534,6.969013,6.457496,9.672767,7.158702,6.614179,8.968339
AARSD1,19.67784,23.044032,27.058079,20.844501,43.91572,28.095444,33.833814,17.527367,23.975037,17.146438,16.494399,30.375381,21.586013,21.150217,31.571844,34.903867,31.73445,29.946328
AASDH,71.151517,54.092069,27.430319,36.049378,55.401528,48.872985,87.684641,34.6461,64.691243,26.041706,89.917987,39.848797,9.123856,83.644242,45.22118,51.488301,40.408239,36.57132
AASDHPPT,7.23626,17.950449,27.596071,14.081659,17.275378,13.057226,14.85637,11.574157,13.248043,9.097973,8.034733,12.870544,22.242846,5.902831,11.974972,18.023382,8.275734,17.792261
AASS,90.143149,55.643457,52.344696,35.248806,49.987245,57.565138,68.019067,34.323404,63.924336,42.264198,66.630709,27.635859,15.657269,59.16831,53.0065,124.677574,26.316376,54.092451
AATF,19.170907,20.057086,35.063046,26.074168,23.078263,23.492192,20.285826,23.132224,22.578696,35.898398,32.942823,18.199638,17.389459,15.536309,21.304673,23.621441,20.002178,23.475102
AATK,0.035701,0.630099,0.908268,0.214502,3.151244,0.181313,0,1.042798,0.0311,0.178583,1.223717,0.223228,0.047862,0.718355,0.378164,0.033296,0.650339,4.618775
ABAT,6.158335,12.864478,26.017318,39.771587,21.386526,29.565544,11.34675,6.438258,10.149337,7.321001,23.152715,78.425033,24.604634,22.148267,15.516003,8.542197,28.470758,7.084432
ABBA01017803.1,3.537876,1.22106,1.245085,3.982938,2.614475,3.169604,1.858191,2.85653,5.672916,1.704235,3.673178,1.259928,3.375148,2.113181,1.442412,4.369942,2.450567,1.074797
ABCA1,93.830294,167.812087,51.711627,39.744756,59.022271,42.252083,117.168059,189.34387,69.8898,95.740071,96.580817,26.604344,32.95168,80.737844,40.669606,51.137386,37.709589,67.770027
ABCA10,81.314954,31.70381,35.441733,66.259051,125.227542,87.081774,66.057917,19.760265,72.384392,10.749291,55.268423,23.041041,8.949165,36.266055,49.117569,109.813413,31.003438,68.854481
ABCA11P,36.303638,11.061512,10.626466,29.748167,21.519745,13.961401,20.391324,9.366782,19.048385,13.972857,3.836211,14.552176,7.351857,18.46225,16.379711,24.183008,15.332258,16.958334
ABCA12,0.137289,3.740704,1.593358,3.207138,2.519885,14.207696,14.470805,0.055193,0.585339,2.735154,0.643234,47.772822,16.356856,28.915598,2.963911,2.368752,11.467078,0.206451
ABCA13,2.609913,0.243091,0.2225,0.363873,4.991532,1.323469,2.632511,0.218551,0.652544,0.882687,0.159741,0.329981,2.26552,2.916799,2.171923,1.11468,0.568439,0.16528
ABCA2,37.086208,26.964383,22.599998,57.189052,78.686412,33.030269,24.446872,37.932172,41.573,14.581559,20.904377,67.585332,22.659615,33.851338,62.468179,28.556695,29.562584,29.59016
ABCA3,7.228083,9.170554,16.281864,62.438618,47.575912,25.778341,21.283661,7.392307,14.045565,16.422368,19.213978,58.996155,14.033457,18.287085,16.143491,17.533185,27.769292,14.967267
ABCA4,4.260031,1.79933,3.32238,9.556574,2.417224,7.343166,9.232944,1.095475,4.708804,1.521358,6.956354,4.670997,6.619338,5.375247,3.487848,6.377806,11.371071,10.010767
ABCA5,71.943965,49.630154,46.596355,114.395909,77.918356,67.063102,73.106752,32.906954,79.559394,27.789324,64.269314,35.289167,26.829173,101.400099,51.294754,124.387843,30.796193,40.652126
ABCA6,169.798499,104.983557,56.654435,81.740901,137.934563,129.151126,105.633441,94.891346,75.104783,11.33743,117.410259,27.329052,26.95759,71.610065,58.346222,171.515595,36.621054,73.802853
ABCA7,5.690882,12.926166,7.027038,20.802423,16.501801,5.373477,11.397993,4.886612,6.92884,7.889772,18.615411,14.465032,10.949553,9.492578,8.18455,6.443933,7.410493,10.491792
ABCA8,117.899511,57.951646,70.40074,66.387328,137.222513,89.341697,80.730475,51.296472,105.37037,12.984354,65.525752,26.053549,13.066192,35.734362,75.084369,113.740849,38.417879,118.409347
ABCA9,57.343042,51.21443,23.097478,37.451249,59.224308,42.417671,55.439041,32.866163,31.239882,1.714929,56.650673,15.936007,8.501347,42.829355,36.307385,83.219155,23.08098,27.065063
ABCB1,20.594899,14.154761,55.178068,22.746014,62.702397,28.798033,14.776682,4.689405,12.275718,2.89501,26.172663,21.95228,14.338163,10.534492,45.118047,34.686122,20.822868,19.798411
ABCB10,28.050311,22.328825,11.680117,20.814987,12.920194,22.378102,9.700024,12.801583,25.797214,16.877646,25.330394,7.142373,22.962129,9.658456,9.993694,20.183795,7.946458,24.389059
ABCB10P1,0,1.253956,0.043608,0.058443,0.238519,0.063223,0,0.049383,0.147951,0,0,0,0,0,0.148428,0,0.339615,0.094634
ABCB11,0.993707,0.40913,0.727479,0.12711,0.05181,0.191428,0.056771,0.305764,0.289829,0,0.77375,0.157866,0.352525,0.02586,0.128938,2.186801,0.792162,0.303275
ABCB4,20.658917,4.817879,7.661433,2.543784,7.728036,1.14924,4.367119,4.138273,10.330594,2.599351,34.794418,2.567672,1.591383,34.478589,1.530414,2.240425,15.175398,9.086228
ABCB5,403.020885,201.414433,93.851623,25.666733,53.716607,24.77304,135.079568,40.766986,89.656,661.309231,325.35116,5.222655,74.071437,269.929908,6.619541,44.674061,41.421269,246.348731
ABCB6,13.874966,13.124845,8.077641,11.943722,12.668209,16.30138,14.958805,15.640831,19.776004,26.461568,14.452433,18.789705,10.384011,38.757723,12.40773,9.562319,17.664478,29.60273
ABCB7,51.913533,72.334118,42.495772,35.955911,55.113529,53.479163,64.124159,35.680543,61.257128,60.957229,66.403882,39.440172,46.97436,65.243481,45.258836,49.758335,28.4699,42.88574
ABCB8,5.924629,12.238503,7.528173,18.627557,18.071672,9.342826,11.743582,11.358435,13.047932,18.603809,10.624392,15.131616,6.620595,9.299091,9.412389,8.676059,8.783715,12.648152
ABCB9,2.55935,1.88634,2.314377,7.435918,5.061586,3.112706,2.076674,1.336599,3.993173,2.079639,9.424946,2.75172,4.821384,2.260487,6.426173,2.315163,3.819248,3.674528
ABCC1,55.453334,66.739137,38.779156,38.420182,43.492815,59.441734,62.545344,55.704519,44.887691,84.764537,55.647181,45.205747,28.769975,69.302039,30.246064,41.971318,46.819946,80.956301
ABCC10,20.768291,18.305913,15.928117,16.486564,16.921649,14.534773,9.087957,16.644942,14.223943,7.204271,17.054446,15.699373,11.047727,11.422205,14.646388,9.662371,19.428489,22.120496
ABCC11,0,3.385777,5.387883,5.602714,9.666715,52.924524,6.861351,3.242488,0.345498,47.918604,1.80796,134.78996,43.711835,27.307865,22.665316,2.217447,37.656218,0
ABCC12,0,0,0,0.601766,0.668343,5.583301,0.07752,0.190098,0,1.568529,0.301827,23.894978,13.029173,0.417901,0.886035,0.382846,7.161314,0
ABCC2,3.818526,4.043198,2.763788,6.458029,6.594533,17.876628,10.29676,6.589815,3.43961,5.937353,3.090821,6.005407,21.074591,24.281305,1.192696,2.098709,6.541229,1.574221
ABCC3,23.921045,18.999786,12.80637,39.165007,16.188916,23.071949,15.741472,8.472701,22.563625,1.017677,10.95794,35.458721,34.519717,22.31731,14.616513,18.797985,9.111633,11.406366
