"","Endothelial_ACKR1","Endothelial_RGS5","Endothelial_CXCL12","CAFs_MSC_iCAF-like_s1","CAFs_MSC_iCAF-like_s2","CAFs_Transitioning_s3","CAFs_myCAF_like_s4","CAFs_myCAF_like_s5","PVL_Differentiated_s3","PVL_Immature_s2","PVL_Immature_s1","Endothelial_Lymphatic_LYVE1","B_cells_Memory","B_cells_Naive","T_cells_c4_CD8+_ZFP36","T_cells_c6_IFIT1","T_cells_c5_CD8+_GZMK","T_cells_c7_CD8+_IFNG","T_cells_c8_CD8+_LAG3","T_cells_c0_CD4+_CCR7","T_cells_c1_CD4+_IL7R","T_cells_c2_CD4+_T-regs_FOXP3","T_cells_c3_CD4+_Tfh_CXCL13","T_cells_c9_NK_cells_AREG","T_cells_c11_MKI67","T_cells_c10_NKT_cells_FCGR3A","Myeloid_c10_Macrophage_1_EGR1","Myeloid_c12_Monocyte_1_IL1B","Myeloid_c2_LAM2_APOE","Myeloid_c1_LAM1_FABP5","Myeloid_c8_Monocyte_2_S100A9","Myeloid_c7_Monocyte_3_FCGR3A","Myeloid_c9_Macrophage_2_CXCL10","Cycling_Myeloid","Myeloid_c11_cDC2_CD1C","Myeloid_c4_DCs_pDC_IRF7","Myeloid_c3_cDC1_CLEC9A","Myeloid_c0_DC_LAMP3","Myoepithelial","Luminal_Progenitors","Mature_Luminal","Plasmablasts","tumor_Cycling","tumor_Her2_SC","tumor_LumB_SC","tumor_Basal_SC","Cycling_PVL","tumor_LumA_SC","Myeloid_c5_Macrophage_3_SIGLEC1"
"BOB12371",2.67729584422215e-06,0.125027991683813,0.0126453241586249,0.0439265778986979,2.64922970677406e-06,0.189421187772476,4.90765284185778e-06,0.0460586266960951,1.71558947746371e-06,2.0616602393959e-06,3.12889217369337e-06,0.0206432125713302,0.0561801040384612,0.0564682248551898,2.38081769042148e-06,3.32881650294221e-06,3.13487419217358e-06,6.83975317022693e-06,1.67324038584824e-06,2.96828286990323e-06,2.52249073909768e-06,0.0114382290697188,0.00407954196416527,6.39939746152503e-06,3.41302723247871e-06,5.07013832767271e-06,2.26016959152557e-06,1.11869340479491e-06,1.70102345284925e-05,5.62935651122734e-05,5.51622879505254e-06,2.28363216843745e-06,9.13139232611446e-07,2.19158442162545e-06,7.95785740205801e-07,0.00101834797343898,6.51872984302597e-07,9.66710567214217e-07,0.0272769019719724,2.51385453714366e-06,0.23286387537167,6.5734518384739e-07,1.30510689639719e-06,1.9015413768173e-06,4.22555801122436e-06,1.14731018185535e-06,0.13160008233838,2.20301862605142e-06,0.0411929451257516
"BOB12540",3.65525592662816e-06,0.155775790004961,0.0138858817273129,0.0343781203020982,1.72127522131788e-06,0.143028836023015,6.87187655364774e-06,0.217831677936506,1.27735505792549e-06,1.94857702333265e-06,1.36426642710094e-06,0.014405439701104,0.0495862195995077,0.0576883439485896,1.61868560473681e-06,2.07563670375094e-06,4.49206522249398e-06,3.87987477904227e-06,1.902719794915e-06,6.2911761115621e-06,1.93551669187405e-06,0.0297308054471106,0.0171743893964895,2.69840655404099e-06,1.92993673428608e-06,7.08879428846096e-05,6.62366649235645e-06,9.093741022628e-07,5.41009488592955e-06,0.0112931645708595,0.000467902023379742,2.2653756215299e-06,8.82623982797691e-07,2.77684229166714e-06,1.5091018913898e-06,0.00761637797933231,6.13588479310392e-07,9.19614739087997e-07,0.0151197264748331,9.06729383689206e-06,0.0473350652949839,5.14241684003958e-07,1.27687098108124e-06,9.99078790728882e-07,8.14594106554133e-07,1.12993392953698e-06,0.0885855583006414,1.40891946551998e-06,0.0959450294867034
"BOB16124",1.15929867863364e-06,0.16278204973496,0.0162658445578298,0.0630463081993726,1.72364511898865e-06,0.114765110702968,7.29383618258505e-05,0.00162161631808522,7.89559244693306e-07,1.52293898896492e-06,7.31664942130458e-07,0.05292516302058,0.0414133288090623,0.0409376944026215,1.43833418174098e-06,7.33717209704612e-07,2.34304406804587e-06,1.09223907474662e-06,8.93108490231245e-07,3.59890355293882e-06,1.43719380313608e-06,0.00717184006208449,0.000318183734422322,1.68930102024333e-06,0.0238757023536241,3.48998983851616e-06,6.04551702146077e-07,4.88895114518516e-07,5.1550270132493e-07,4.25958573177871e-07,8.39287785451129e-07,4.17297762352585e-07,2.93760449663613e-07,7.83297999800089e-07,4.01785244293184e-07,0.00118029782286819,4.44664445159984e-07,4.69961123163004e-07,0.0546898847846873,0.0141954918523001,0.231054465927419,5.56003738736806e-07,0.00680563610411814,0.00254795784494183,2.29893400649931e-06,5.19344100243603e-06,0.153241523824075,0.00741257597264614,0.00364000932964652
"BOB17103",2.89968328699573e-06,0.107834990228121,0.0142123434483945,0.0286719387441166,1.82260688393473e-06,0.126712904784742,4.49894498778996e-06,0.00144093937729984,1.61764686802417e-06,1.79299450422017e-06,8.89971945378323e-07,0.0229164762521563,0.0421288598415866,0.0172424500681165,2.33204847253195e-06,2.03525947450425e-06,2.3905566125105e-06,7.2555886667964e-06,2.67432845876176e-06,3.2771006893998e-06,1.84029383035982e-06,0.026669522288075,0.000105798893101253,4.71347033944511e-06,5.78827216722424e-06,3.41190780731072e-06,1.14544614648468e-06,7.31056567608723e-07,6.22311883185705e-07,6.93832620283013e-07,9.33155239332456e-07,7.12346612752793e-07,5.67930979992575e-07,1.22691940113364e-06,9.10625642242983e-07,0.000331191833990161,5.80373020056886e-07,7.05178331887831e-07,0.0492644896336763,0.017161457536092,0.41459953318368,6.200749573551e-07,1.51468942419136e-06,0.000684063671548504,2.1361091560342e-06,1.30121505443232e-06,0.0548391117548616,0.0653887350615816,0.0097315514588284
"BOB17481",2.96612360710664e-06,0.211030420274096,0.00953393991364113,0.0841303256097616,2.01846237746913e-06,0.148661989283964,5.54866263308356e-06,0.000700139766853471,1.14535217389753e-06,2.93495954528273e-06,1.36904713402591e-06,0.00687037313518117,0.0605171928212746,0.0177360223806452,8.02505257457e-07,1.8602456839192e-06,1.57227004501611e-06,1.88121280660542e-06,1.02392793795561e-06,1.815510331046e-06,1.30988353896896e-06,3.12692484630715e-05,0.025003670253359,3.40602614873628e-06,1.0683174832947e-06,0.0022423054000228,9.40743386422167e-07,6.84438499334516e-07,6.24695250172214e-07,5.18892163093698e-07,9.20545435639384e-07,9.33395405118697e-07,3.5733430557696e-07,8.04981892321857e-07,5.35786749322604e-07,5.20733927633904e-06,3.85683922802126e-07,5.08559878512836e-07,0.037670345672033,0.0106465979356535,0.296649220404254,4.57848080369761e-07,1.52436643135361e-06,7.66476397640855e-07,1.60739223106183e-06,0.0015921847154632,0.0645182537854351,0.00442494513657812,0.0179933032773125
"BOB18762",2.49396864674168e-06,0.148623663498416,0.012002576349658,0.12529379444615,1.58678108925602e-06,0.12325972098449,0.000178110875934187,0.0502905102329857,1.57599370205004e-06,1.79595033931026e-06,1.28842074471456e-06,0.0204815322596044,0.0222215178946065,0.0174936195636103,1.14470603817771e-06,1.83303677742488e-06,1.43743193904744e-06,4.49490148311308e-06,1.2235961864869e-06,2.39233917540306e-06,1.4958410443968e-06,0.0177542227383533,0.00390850319255534,2.36007161983903e-06,1.12561343057572e-06,4.7839340525215e-06,1.0988764441381e-06,6.16005421359554e-07,5.68682838528014e-07,6.25389672465807e-07,1.57391827541819e-06,6.95885087576676e-07,5.84179365841459e-07,8.21129804681131e-07,4.5404042112684e-07,2.24379419772718e-05,3.95027361858346e-07,6.01219520020602e-07,0.0584512701814977,1.88296970435321e-06,0.359891985721153,6.13989740556284e-07,7.55558780959096e-07,1.06696306347156e-06,8.35137653832114e-07,7.85611664623562e-07,0.0253156090245219,2.79513559879119e-06,0.0147631227877974
"BOB20101",3.35551260543906e-06,0.144421157454206,0.0224394634673458,0.0399380497765436,2.51591343005169e-06,0.194120829870994,5.23182991016665e-06,0.119932163390343,1.90614487676492e-06,1.28910840759562e-06,1.54996001585551e-06,0.0373714008317086,0.0473682937772415,0.041398853291262,2.48971505059537e-06,3.34404662862776e-06,7.68987392693928e-06,7.27914239193764e-06,2.00717239070036e-06,1.02365293394393e-05,2.01228782806106e-06,1.97631658296844e-05,0.00146749697414203,1.97751728801417e-06,3.6026111529321e-06,5.17805560486964e-06,1.98765723044564e-06,7.61520001911138e-07,9.80087379507004e-07,1.05079670963827e-06,1.12771535928484e-06,9.0279953492511e-07,6.27793520756732e-07,1.18300099274383e-06,7.94042424740107e-07,4.8651087876429e-06,6.52354565630645e-07,7.82571885826937e-07,0.0228202194531033,3.19348339739343e-06,0.256644929735513,8.38700930829525e-07,1.659590772093e-06,1.62789386291798e-06,7.11122351114708e-06,1.52230146700812e-06,0.0666935943317126,1.95810716066427e-06,0.00526849230971316
"BOB20533",1.56216959089229e-06,0.15766361408654,0.00963962002179111,0.00189028634626523,1.16039825703047e-06,0.375090772755807,2.85328108106434e-06,0.179525232756913,9.2500393548725e-07,1.62130025699664e-06,1.04060183369293e-06,0.000870946240135503,0.0705377762448745,0.00596604377394246,1.31133734741578e-06,1.28280086124252e-06,1.00425153747867e-06,5.60384164666961e-06,1.08845967945485e-06,1.46248726094035e-06,1.55521473911739e-06,0.0495108736524837,1.13788584555971e-05,1.70609316336001e-06,9.92581074117082e-07,1.07354958123383e-05,2.85843111207599e-06,7.14390234260714e-07,1.38668343077396e-06,7.81538347519302e-06,0.000522769285576334,1.63247580656509e-06,6.11620808612427e-07,1.3272342425999e-06,7.13488566315729e-07,0.00433811311064759,4.25457563658022e-07,6.42562262699485e-07,1.28733959731678e-05,1.24278404160321e-06,0.0137023976886475,4.99097874060127e-07,6.24994799645416e-07,8.38796712980325e-07,6.78241064628974e-07,5.38653965135721e-07,0.0537093313271117,9.93353532215643e-07,0.0769485214872653
"BOB20722",2.10016518983477e-06,0.142104399239391,0.0160503589132823,0.0596338892521706,1.78628977337705e-06,0.157331280868165,2.89136381706241e-06,0.00684398547513681,1.66614009473325e-06,2.54143545333563e-06,1.52310588446027e-06,0.0285243338384334,0.0601599764960965,0.109687181439259,5.26535646285174e-06,1.01084597820689e-05,0.00213491594820223,0.000208248259651153,2.87300632362461e-06,4.23119375677173e-05,5.71851812490855e-06,0.0116694719397871,0.0312819591377371,6.67296624735575e-06,3.00464544121746e-06,0.000107447741473728,2.95220182999355e-06,1.72526792379513e-06,1.41830274055188e-06,1.14720177503996e-06,0.000550144174861356,1.30893280230888e-06,1.1517900014481e-06,1.56691104409304e-06,1.79751382593954e-06,0.00389581956691869,8.59467680585008e-07,1.38964825423643e-06,0.061813662517523,0.0857650312885968,0.130499668326192,1.06044536917046e-06,4.26366062899873e-06,1.80564451180499e-06,1.0011644108656e-06,3.17659331057452e-06,0.0749211344380614,1.83141018498736e-06,0.0167001715926046
"BOB21170",3.02682888506406e-06,0.114687426199419,0.0245475892332653,0.0691303175406556,8.99689508145938e-07,0.167660392627498,1.78999228636121e-06,0.0139490756422561,7.39733727137667e-05,1.10749388051205e-06,1.25207445418487e-06,0.0488228113411213,0.0202283303521287,0.0600146932578571,1.28055645273178e-06,1.34534941023386e-06,2.11702065823032e-06,2.17328089558329e-06,7.15270196642608e-07,3.50351962094034e-06,1.73102128555199e-06,0.00528320041265923,0.0019171965164149,2.14861094838184e-06,1.09156987971617e-05,0.000419915518648162,6.04628628504972e-07,3.49411020133798e-07,4.63321613871e-07,5.86337648132786e-07,1.19021532950995e-06,9.50677775323429e-07,3.28395284211294e-07,8.56151808929973e-07,4.65250716655883e-07,0.000162097298933036,5.22074952850577e-07,5.54785718717023e-07,0.0513534481827546,0.0046290381135135,0.125972304665287,4.26842156816867e-07,4.1614930346814e-06,3.57317637835318e-06,8.39469600999771e-07,2.28115867525965e-06,0.288489786302254,4.35866654326843e-06,0.0026018849584544
